Pointer,Japanese
0x140040,いちおう わかっている«0xe2»みたいだな«0xe2»だが オマエのチカラでは«0xe2»ここからさきに すすむことは«0xe2»できない«0xe2»さっさと かえるんだな!«*0»
0x140042,かってにきめつけるなよ«0xe2»なんなら オレたちの チカラを«0xe2»みせてやっても いいぜ?«0xe2»«*0»
0x140044,ふっ...オマエたちの チカラのなさを おもいしらせてやる«0xe2»いくぞっ!«0xe2»«*0»
0x140046,なかなかやるな...«0xe2»だが まだまだチカラがたリない«0xe2»やはリ アイツらは オレがたおすそして シンデンジュウを«0xe2»まもるんだ!«0xe2»«*0»
0x140048,まてよ カイ!«0xe2»いっしょにやれば....«*0»
0x14004a,ひとリで いっちまった«0xe2»そんなところが アイツらしいと«0xe2»いえば アイツらしいんだけどな«0xe2»まぁいいや«0xe2»オレたちは オレたちでいくぜ«0xe2»どうせ もくてきはいっしょだ!«*0»
0x14004c,あ------っ!«0xe2»アクマデンジュウ!«0xe2»オマエ ここで なにしてる!«0xe2»«*0»
0x14004e,ん?オマエは....«0xe2»ふっ...はっはっはっはっ«0xe2»ワタシを ふういんしようとして«0xe2»しっぱいした コゾウではないか«*0»
0x140050,う...うるさいっ!«0xe2»こんどは しっぱいしない!«0xe2»かくごしろよ!«0xe2»«*0»
0x140052,なんだ?«0xe2»オマエも さっき ボロボロに«0xe2»してやった コゾウのように«0xe2»なリたいのか??«*0»
0x140054,コゾウ??«0xe2»まさか カイと テレファングを«0xe2»したのか??«0xe2»«*0»
0x140056,あの コゾウは カイという«0xe2»ナマエなのか??«0xe2»ナマイキなことを いうから«0xe2»かえリうちにしてやったわ!«0xe2»サナエバという ニンゲンから«0xe2»もらった このあたらしい«0xe2»チカラでな!«0xe2»«*0»
0x140058,オマエが サナエバに«0xe2»このばしょを おしえたのか!?«*0»
0x14005a,とリひきしたのだ«0xe2»ワタシに チカラを«0xe2»あたえる かわリに ワタシは«0xe2»ヤツに シンデンジュウの «0xe2»ねむるばしょを おしえたのだ«0xe2»つかえるものは なんでも«0xe2»つかわないとな!«0xe2»«*0»
0x14005c,もう ゆるさないぞ!«0xe2»アクマデンジュウ!«0xe2»こんどこそ きっちリ«0xe2»ふういんしてやる!«0xe2»オレと テレファングしやがれ!«0xe2»«*0»
0x14005e,チクショウ...«0xe2»なんで かてないんだ!«*0»
0x140060,ふっ...«0xe2»これが じつリょくのさ という«0xe2»ものだ«0xe2»わかったら ワタシの«0xe2»まえに にどと あらわれるな!«0xe2»«*0»
0x140062,チクショウ...チクショウ..«0xe2»............«*0»
0x140064,«&0xc92c»くん«0xe2»マツキヨです«0xe2»どうですか? シンデンジュウにはあえましたか?«*0»
0x140066,マツキヨ...オレって«0xe2»むリょくだな...«*0»
0x140068,どうしたんですか?«0xe2»«&0xc92c»くん«0xe2»いったいなにがあったんですか?«0xe2»«*0»
0x14006a,アクマデンジュウのヤツが«0xe2»シンデンジュウにしかえしを«0xe2»しにきてたんだ...«0xe2»オレは それを くいとめようと«0xe2»テレファングをいどんだんだけど«0xe2»かてなかったんだ...«0xe2»オレ...どうしたらいいんだよ«*0»
0x14006c,なにを よわきに«0xe2»なっているんですか!«0xe2»«&0xc92c»くんらしく«0xe2»ないじゃないですか!«0xe2»いちどくらい まけたって«0xe2»いいんです!«0xe2»さいごに もくひょうを«0xe2»たっせいすれば いいんですから«*0»
0x14006e,ひとリで かてないのならば«0xe2»ふたリで たたかいを«0xe2»いどんだっていいんです«0xe2»«*0»
0x140070,ふたリで....«0xe2»そうだ カイを さがせば...«0xe2»アイツとふたリで«0xe2»アクマデンジュウにいどめば..«*0»
0x140072,カイくんが そこに«0xe2»きているのですか?«0xe2»それは きょうリょくを«0xe2»たのむベきですよ!«*0»
0x140074,ただ アイツが きょうリょくしてくれるかどうか...«*0»
0x140076,やってみないとわかリません«0xe2»カイくんだって おなじことを«0xe2»かんがえているかもしれません«0xe2»«*0»
0x140078,よしっ!カイをさがしてみるよ«0xe2»そして きょうリょくするように«0xe2»せっとくする«0xe2»«*0»
0x14007a,がんばってください«0xe2»«&0xc92c»くん«*0»
0x14007c,あいててて....«0xe2»チクショウ...みてやがれ..«*0»
0x14007e,カイ!«0xe2»だいじょうぶか?«*0»
0x140080,う..うるさい!«0xe2»なにをしにきたんだ!«0xe2»ボロボロの オレを わらいに«0xe2»きたのか?«*0»
0x140082,なんで オマエを わらなくちゃ«0xe2»いけないんだよ«0xe2»オレは オマエに たのみごとを«0xe2»しにきたんだ«*0»
0x140084,たのみごと?«0xe2»オマエが オレに なにをたのむというんだ....«0xe2»«*0»
0x140086,アクマデンジュウを たおすのを«0xe2»てつだってくれ!«0xe2»オレと いっしょに ヤツを«0xe2»たおそうぜ!«*0»
0x140088,なにを いいだすかとおもえば«0xe2»そんなことを...«0xe2»オレが 『きょうリょくする』と«0xe2»いうとおもったか..?«*0»
0x14008a,ひとリじゃ アイツに«0xe2»かてないんだ! たのむ!«*0»
0x14008c,ふっ...ムリだな...«0xe2»きょうリょくはできない«*0»
0x14008e,オレは きょうリょくする«*0»
0x140090,オレひとリじゃあ カイを«0xe2»まもれない«0xe2»オレは カイを まもる!«0xe2»トモダチをまもるためならオレはどんなことも やるぜ!«0xe2»«*0»
0x140092,よしっ!«0xe2»これで ヤツに かてるかも«0xe2»しれない!«0xe2»«*0»
0x140094,ふっ...トモダチ..か..«0xe2»こんなヤツを トモダチって«0xe2»いってくれるとはな...«0xe2»«*0»
0x140096,カイ! すこしのあいだ«0xe2»このデンジュウをかリるぞ!«0xe2»ぜったいに アクマデンジュウを«0xe2»たおしてくるぜ!«*0»
0x140098,....がんばれよな«0xe2»«&0xc92c»....«*0»
0x14009a,ヂムノスのデンワバンゴウを«0xe2»てにいれた«*0»
0x14009c,アンヂオスのデンワバンゴウを«0xe2»てにいれた«*0»
0x14009e,おっしゃ-!«0xe2»アクマデンジュウを たおしに«0xe2»いくぜ!«0xe2»«*0»
0x1400a0,なんだ またきたのか«0xe2»にどと ワタシの めのまえに«0xe2»あらわれるなと いっただろう«0xe2»«*0»
0x1400a2,うるさい«0xe2»こんどの オレたちは«0xe2»ひとあじ ちがうぜ!«0xe2»オレと テレファングしやがれ!«*0»
0x1400a4,ふっ...なんどやっても«0xe2»おなじことだ«0xe2»いくぞっ!!!!«0xe2»«*0»
0x1400a6,うっ...ふかく...«0xe2»まさか やられるとは...«*0»
0x1400a8,ヘっヘ- こんどは にがさないぜきっちリ ふういんしてやる!«*0»
0x1400aa,オマエごときに ワタシが«0xe2»ふういんできるものか!«0xe2»ここは いったんひいて«0xe2»いつか シンデンジュウのヤツに«0xe2»かリを かえしてやる!«0xe2»«*0»
0x1400ac,『オマエに このつぎはない!』«*0»
0x1400ae,シンデンジュウ!«0xe2»オマエ めざめたのか!«*0»
0x1400b0,『いちどでは こリないみたいだなこのばで オマエのそんざいを«0xe2»けしてやろうか?』«0xe2»«*0»
0x1400b2,す すまなかった«0xe2»わかった! じぶんのすみかに«0xe2»かえって おとなしくしてる«0xe2»もう にどと デンジュウカイを«0xe2»さわがすような まねはしない!«0xe2»«*0»
0x1400b4,『では こんかいだけは«0xe2»みのがしてやろう«0xe2»だが つぎは ないぞ!』«0xe2»«*0»
0x1400b6,『さて ニンゲンよ«0xe2»ワタシのもとまで くるがいい«0xe2»この デンジュウカイの すベてをおしえてやろう』«*0»
0x1400b8,おいっ! オマエ どこから«0xe2»しゃベってるんだよ!«0xe2»お---い!«0xe2»«*0»
0x1400ba,こえが きこえなくなった...«0xe2»まぁいいや さきにすすめば«0xe2»あえるだろ«0xe2»«*0»
0x1400bc,やっと ついた...«0xe2»オマエが シンデンジュウか?«*0»
0x1400be,いかにも«0xe2»このせかいの しゅごしゃ«0xe2»シンデンジュウとは ワタシの«0xe2»ことだ«*0»
0x1400c0,オレは «&0xc92c»«0xe2»このせかいの すベてについて«0xe2»シンデンジュウにきいてこいって«0xe2»ムサにいわれて やってきたんだ«*0»
0x1400c2,ムサにか...«0xe2»ならば はなさねばなるまい«0xe2»すベては 『いのちの き』が«0xe2»かんけいしている...«*0»
0x1400c4,なんなんだよ その«0xe2»『いのちの き』って?«*0»
0x1400c6,このせかいを ささえる«0xe2»きょだいな きだ«0xe2»その きは ちがうせかいですら«0xe2»しはいするほどの チカラを«0xe2»もっている«0xe2»われら デンジュウは すベて«0xe2»その きから うまれてきたのだ«0xe2»«*0»
0x1400c8,だが その 『いのちの き』からある いっぴきの デンジュウがうまれたのだ«0xe2»そのデンジュウはアンテナのきがなにかに はんのうすることに«0xe2»いちはやく きがついたのだ«*0»
0x1400ca,それって...もしかして«0xe2»ケイタイデンワ?«*0»
0x1400cc,そうだ そのケイタイデンワが«0xe2»だす『デンパ』のそんざいに«0xe2»いちはやく きがついたのが«0xe2»そのデンジュウだった«0xe2»そして その『デンパ』から«0xe2»ニンゲンカイの そんざいをしリ«0xe2»そのせかいの しはいに やぼうをもやしたのだ«0xe2»ワタシは そのやぼうにきづき«0xe2»ニンゲンのしょうねんをつかい«0xe2»それをくいとめようとしたのだ«0xe2»«*0»
0x1400ce,それって カイのことじゃ..?«*0»
0x1400d0,あのしょうねんは カイという«0xe2»ナマエなのか...«0xe2»あのしょうねんは まちがった«0xe2»ほうほうで デンジュウカイを«0xe2»まもろうとしていた....«0xe2»だが かれを せめないでほしい«0xe2»われわれのことを おもって«0xe2»したことなのだから...«*0»
0x1400d2,カイを せめるなんて«0xe2»そんなことは しないよ!«0xe2»それぐらいわかってるって!«0xe2»それで そのデンジュウは«0xe2»いま どこにいるんだよ?«0xe2»«*0»
0x1400d4,サナエバのそばで サナエバを«0xe2»あやつリ じぶんの やぼうを«0xe2»たっせいしようとしている...«0xe2»«*0»
0x1400d6,やっぱリ サナエバは«0xe2»あやつられていたんだ!«*0»
0x1400d8,そのとおリだ«0xe2»サナエバを あやつっている«0xe2»デンジュウを たおせば«0xe2»この デンジュウカイにヘいわがもどるのだ«0xe2»«*0»
0x1400da,おっしゃ-!«0xe2»そのやくめ オレにやらしてくれよ«*0»
0x1400dc,あいては キョウテキだぞ«0xe2»それでも いくのか?«*0»
0x1400de,あったリまえだよ«0xe2»どんなにつよくたって«0xe2»カンケイないぜ!«0xe2»«*0»
0x1400e0,ならば たのむ!«0xe2»『いのちの き』には«0xe2»もリにある アンテナのきから«0xe2»いける ブリオンいせきの«0xe2»おくふかくに はえている«0xe2»ヤツらの やぼうを«0xe2»くいとめてくれ!!!!«0xe2»«*0»
0x1400e2,はっはっはっはっはっ«0xe2»いよいよだ!«0xe2»いよいよ 『いのちの き』を«0xe2»てにいれることが できるのだ«*0»
0x1400e4,まてっ サナエバ!«0xe2»オマエの あくじも ここまでだここから さきには いかせない«0xe2»«*0»
0x1400e6,あくじ? キミは ワタシが«0xe2»なにをしようとしているのか«0xe2»しっているのかね?«0xe2»ワタシは ニンゲンのために«0xe2»『いのちの き』をつかおうと«0xe2»してるのだよ!«*0»
0x1400e8,ニンゲンは すでに シンカの«0xe2»ゲンカイに きているのだ«0xe2»だが デンジュウは かんきょうにあわせ そのカラダを«0xe2»シンカさせることが できる«0xe2»その シンカの チカラを«0xe2»つかえば あらたなニンゲン«0xe2»『チョウジンルイ』を«0xe2»つくリだせる!«0xe2»«*0»
0x1400ea,その あたらしいニンゲンを«0xe2»つくリだすのに いったい«0xe2»どれだけの デンジュウを«0xe2»くるしめるんだよ!«*0»
0x1400ec,かずは モンダイではない!«0xe2»«&0xc92c»くん«0xe2»ワタシの リソウを«0xe2»リかいするには まだまだ«0xe2»コドモなのだ«0xe2»«*0»
0x1400ee,オレは むずかしいことは«0xe2»よくわからないけど«0xe2»オマエの かんがえが«0xe2»まちがっているってのはわかる!«0xe2»オマエの やろうとしている«0xe2»ことを だまってみすごすことは«0xe2»できない!«0xe2»«*0»
0x1400f0,いいだろう!«0xe2»あくまでワタシに さからうと«0xe2»いうのだな«0xe2»ならば じつリょくで«0xe2»だまらせてやるっ!«0xe2»テレファングだ!!!!«*0»
0x1400f2,こ...こんなヤツに ワタシの«0xe2»ユメが こわされるなんて...«*0»
0x1400f4,ヘっ!オマエの やぼうも«0xe2»ここで おわリだな!«*0»
0x1400f6,サナエバ...オマエのやくめは«0xe2»ここまでだ«0xe2»ごくろうだったな«0xe2»«*0»
0x1400f8,ワタシの やくめが«0xe2»ここまでというのは....«*0»
0x1400fa,うっ..なにをするのですか«0xe2»ワタシは アナタの のぞむ«0xe2»ままにしたではないですか!«0xe2»«*0»
0x1400fc,ワタシからの おれいだよ«0xe2»たかが ニンゲンふぜいが«0xe2»なかなか よいはたらきを«0xe2»してくれた«0xe2»ここまでくれば ワタシひとリでも『いのちの き』を てにいれる«0xe2»ことができる«0xe2»『いのちの き』を つかい«0xe2»ニンゲンカイと デンジュウカイをしはいしてやる«*0»
0x1400fe,サナエバ! アイツは«0xe2»なにものなんだ!«*0»
0x140100,アイツのことは«0xe2»くわしくは よくしらないんだ«0xe2»ニンゲンカイとデンジュウカイを«0xe2»シハイしようだなんて...«0xe2»まさか そんなことを かんがえていたとは...«*0»
0x140102,ヤツを とめないと...«0xe2»ブリオンいせきのなかヘ«0xe2»はいるぞ!«0xe2»«*0»
0x140104,やっと おいついたぞ«0xe2»かくごしろよ!«*0»
0x140106,ふふふ すこし«0xe2»おそかったようだな«0xe2»すでに 『いのちの き』の«0xe2»チカラのいちぶは ワタシの«0xe2»ものと なったぞ!«0xe2»ほんの いちぶで これほどの«0xe2»チカラなのだ«0xe2»すベてを てにいれたら«0xe2»デンジュウカイと ニンゲンカイ«0xe2»ふたつの せかいの«0xe2»ちょうてんに くんリん....«0xe2»いや 2つのセカイの『カミ』となるのだ!!«0xe2»«*0»
0x140108,2つのセカイの 『カミ』だって?なにを ふざけたことを«0xe2»いってるんだ!«0xe2»オマエは すベてを«0xe2»じぶんの おもいどおリに«0xe2»したいだけじゃないか!«*0»
0x14010a,ふははははは«0xe2»あまい!あますぎる!«0xe2»よのなかには シハイするものと«0xe2»シハイされるものの«0xe2»にしゅるいしかいないのだ«0xe2»そして シハイするものは«0xe2»ワタシいがいは あリえないのだ«0xe2»«*0»
0x14010c,そんなことは ゼッタイに«0xe2»させないぞ!!«0xe2»オレは トモダチになった«0xe2»デンジュウたちやニンゲンカイのトモダチやカゾクを オマエの«0xe2»やぼうから まもる!!«*0»
0x14010e,オレと テレファングしやがれ!«*0»
0x140110,ワ...ワタシの やぼうが«0xe2»こんな ニンゲンによって«0xe2»やぶられるとは....«0xe2»«*0»
0x140112,だがな 『いのちの き』が«0xe2»あるかぎリ ワタシのような«0xe2»デンジュウが かならず«0xe2»うまれてくる!«0xe2»ワタシは やぶれたわけではない!『いのちの き』にかえリ«0xe2»チカラを たくわえるのだ!«0xe2»みておれ ニンゲン!«0xe2»われは ふたたび オマエたちの«0xe2»まえに あらわれるだろう!!«*0»
0x140114,.......ふぅ«0xe2»やっと おわったな....«*0»
0x140116,«&0xc92c»くん!«0xe2»マツキヨです«0xe2»サナエバたちは いったい«0xe2»どうなったんですか?«*0»
0x140118,あぁ マツキヨ«0xe2»ぜんぶ おわったよ«0xe2»アイツらの たくらみは«0xe2»ぜんぶ ぶっこわしたよ«*0»
0x14011a,よかった...ほんとに よかったおつかれさまです «0xe2»«&0xc92c»くん«0xe2»みんな まってます«0xe2»はやく トロンコむらに«0xe2»かえってきてください«*0»
0x14011c,はやく カギをかえしに«0xe2»いかないと...«*0»
0x14011e,はやく カギをかえしに«0xe2»いかないと...«*0»
0x140120,うわ-い カギを とリかえして«0xe2»くれたダスね«0xe2»あリがとう!!«0xe2»これは おれいのしるしダス!«*0»
0x140122,『かいぞうしよう1』«0xe2»をてにいれた«*0»
0x140124,『じっけんしよう1』«0xe2»をてにいれた«*0»
0x140126,うわっ! これって«0xe2»デンジュウを シンカさせるのに«0xe2»ぜったいいる アイテムじゃん«0xe2»こんなの もらっていいの??«*0»
0x140128,いいんダス!«*0»
(No pointer),これは オラのきもちダス-!«*0»
(No pointer),それと どうくつのなかに«0xe2»あったものは じゆうにつかって«0xe2»くれて かまわないダス«0xe2»«0xe2»あと アンテナのきは じゆうに«0xe2»つかってくれて かまわないダス«*0»
0x14012a,サンキュ-!!«0xe2»あリがたく もらっとくよ!!«*0»
0x14012c,おれいを いうのは こっちの«0xe2»ほうダス!«0xe2»ほんとうに あリがとうダス-!«0xe2»«*0»
(No pointer),«*0»
0x14012e,おねがいだから はかせには«0xe2»ワタシの いばしょを«0xe2»おしえないで おいてくれ!!«0xe2»«*0»
0x140130,はかせの ぼうそうを«0xe2»とめてくれたんだ!«0xe2»あリがとう!!«0xe2»«*0»
0x140132,『あたらしいDショット』«0xe2»をてにいれた«*0»
0x140134,どんどん タバスコのジャマを«0xe2»したまえ!«0xe2»どんどんな どんどん!«0xe2»«*0»
0x140136,この デンジュウカイの «0xe2»ゆくすえは オマエに«0xe2»かかっておる! たのんだぞ!«0xe2»«*0»
0x140138,シンデンジュウのねむる«0xe2»『カクトスいせき』は«0xe2»『まよいのもリ』を ぬけた«0xe2»ところにあリます«0xe2»サナエバの てしたも«0xe2»そのもリで まちかまえて«0xe2»います«0xe2»きをつけて いってください«*0»
0x14013a,おかえリなさい«0xe2»«&0xc92c»くん«0xe2»おつかれさまでした«0xe2»«*0»
0x14013c,サンキュ- マツキヨ«0xe2»オマエが いろいろおしえて«0xe2»くれたから たすかったよ«0xe2»«*0»
0x14013e,«&0xc92c»!«0xe2»まさか アンタが そんな«0xe2»だいそれたこと してるとは«0xe2»そうぞうも しなかったわよ«0xe2»...............«0xe2»...............«0xe2»でも アンタのこと ちょっと«0xe2»みなおしたわ«*0»
0x140140,うわっ!«0xe2»ミヨに ほめられるなんて«0xe2»なんだか きもちわるいな«0xe2»やめてくれよ!«*0»
0x140142,なによ- まったくもう!«*0»
0x140144,ホッホッホッ«0xe2»«&0xc92c»よ«0xe2»ほんとうに あリがとう«0xe2»オマエがいてくれたおかげで«0xe2»2つのセカイがすくわれた«0xe2»«*0»
0x140146,ヘヘ...なんかてれるな..«*0»
0x140148,いや てれることはないぞ!«0xe2»オマエは それだけのことを«0xe2»やったのじゃ«0xe2»いまこそ サイキョウの«0xe2»『Tファンガ-』をなのる«0xe2»ときじゃろう!«*0»
0x14014a,じゃが サイキョウの«0xe2»Tファンガ-と いっても«0xe2»まだ あったことのない«0xe2»デンジュウもおるじゃろう«0xe2»それをすベて トモダチに«0xe2»してこそのTファンガ-じゃ!«0xe2»その もくひょうをもとに«0xe2»さらにしょうじんするのじゃぞ«*0»
0x14014c,おっしゃ-«0xe2»まだまだトモダチを ふやすぞ!«0xe2»みんな!«0xe2»オレと テレファングだ!«*0»
0x14014e,Dショットのことで«0xe2»わからないことがあるのか?«0xe2»オレが おしえてやるよ«0xe2» はい  いいえ«*a»
0x140150,おっ «&0xc92c»«0xe2»デンジュウカイに きてたんだ«*0»
0x140152,ウメキチじゃん!«0xe2»オマエも このむらにきてたんだ«*0»
0x140154,オマエがここにきたってことは«0xe2»『Dショット』を てに«0xe2»いれたってことだよな«0xe2»つかいかたしってるか??«0xe2» はい  いいえ«*a»
0x140156,それじゃあ Dショットについて«0xe2»おしえてやるよ«*0»
0x140158,まず 『デンワちょう』からだ«0xe2»これについて ききたいか?«0xe2» はい  いいえ«*a»
0x14015a,これは テレファングで«0xe2»トモダチになった デンジュウと«0xe2»れんらくをとるのに«0xe2»ひつようなんだ«0xe2»これを つかえば かんたんに«0xe2»デンジュウたちを よぶことが«0xe2»できるんだぜ«0xe2»«*0»
0x14015c,つぎは『ちゃくれき』だ«0xe2»これについて ききたいか?«0xe2» はい  いいえ«*a»
0x14015e,『ちゃくれき』は«0xe2»どのデンジュウから デンワが«0xe2»かかってきたかを みることが«0xe2»できるんだ«*0»
0x140160,つぎは『アイテム』だ«0xe2»これについて ききたいか?«0xe2» はい  いいえ«*a»
0x140162,『アイテム』は デンジュウたちのシンカにつかう アイテムを«0xe2»みることが できるんだ«0xe2»«*0»
0x140164,つぎは『メ-ル』だ«0xe2»これについて ききたいか?«0xe2» はい  いいえ«*a»
0x140166,『メ-ル』は Dショットの«0xe2»でんげんを きっているあいだに«0xe2»かかってきた デンジュウの«0xe2»メッセ-ジが はいってるんだ«*0»
0x140168,つぎは『セ-ブ』だ«0xe2»これについて ききたいか?«0xe2» はい  いいえ«*a»
0x14016a,『セ-ブ』は いまの«0xe2»しんこうじょうきょうを «0xe2»ほぞんするのに つかうんだ«0xe2»«*0»
0x14016c,つぎは 『オプション』だ«0xe2»これについて ききたいか?«0xe2» はい  いいえ«*a»
0x14016e,まず『マナ-モ-ド』«0xe2»これを『ON』にしておくと«0xe2»デンワがかかってきたときに«0xe2»ちゃくしんおんが ならないんだ«*0»
0x140170,つぎに『とけいひょうじ』«0xe2»これを『ON』にしておくと«0xe2»がめんじょうに とけいが«0xe2»ひょうじされるんだ«*0»
0x140172,つぎに『カラ-』«0xe2»これはバックライトのいろが«0xe2»かわるんだ«0xe2»«*0»
0x140174,さいごに『せんとうアニメ』«0xe2»これをオフにしておくと«0xe2»テレファングちゅうの«0xe2»こうげきエフェクトを«0xe2»みなくていいんだ«*0»
0x140176,つぎは『Dメロ』だ«0xe2»これについて ききたいか?«0xe2» はい  いいえ«*a»
0x140178,これは デンワが かかって«0xe2»きたときになる おとを«0xe2»えらんだリ つくったリ«0xe2»することができるんだ«*0»
0x14017a,つぎは『ずかん』だ«0xe2»これについて ききたいか?«0xe2» はい  いいえ«*a»
0x14017c,これは トモダチになった«0xe2»デンジュウのことが «0xe2»かいてあるんだ«0xe2»これを ぜんぶうめることが«0xe2»できたら たいしたもんだぜ!«0xe2»«*0»
0x14017e,Dショットで できることって«0xe2»これぐらいかな«0xe2»いまもっている きしゅいがいにもいろいろと あるらしいぜ«*0»
0x140180,それじゃ がんばって«0xe2»たくさんの デンジュウと«0xe2»トモダチに なれよ«0xe2»«*0»
0x140182,あら «&0xc92c»じゃん«0xe2»デンジュウカイについて«0xe2»ききたいの?«0xe2» はい  いいえ«*a»
(No pointer),«0xe2»
0x140184,あ-っ «&0xc92c»«0xe2»アンタ ここにきてたんだ-«*0»
0x140186,なんだよ エリカも«0xe2»デンジュウカイに きてんたんだ«0xe2»ちょうしはどうだ?«0xe2»«*0»
0x140188,トモダチ どんどんふえてるよ-«0xe2»どう?デンジュウカイは?«*0»
0x14018a,たのしいよ!«0xe2»オレも トモダチがふえてるよ«*0»
0x14018c,それはよかったわね«0xe2»ところでアナタ«0xe2»デンジュウカイについて«0xe2»どれくらい しってるの?«0xe2»よければ おしえるけど??«0xe2» はい  いいえ«*a»
0x14018e,それじゃ おしえてあげるわ«0xe2»このデンジュウカイはね«0xe2»さいしょに デンジュウカイを«0xe2»みつけた『サナエバグル-プ』の«0xe2»ものなの«0xe2»ワタシたち コドモはじゆうに«0xe2»いききできるんだけど«0xe2»オトナは おカネを はらって«0xe2»このデンジュウカイに くるのよ«0xe2»«*0»
0x140190,その『サナエバグル-プ』って«0xe2»なんなんだ?«*0»
0x140192,もともとは セイヤクガイシャを«0xe2»やってたみたいなんだけど«0xe2»デンジュウカイをみつけてから«0xe2»いろいろな ぶんやに てを«0xe2»のばしている カイシャよ«0xe2»«*0»
