Pointer,Japanese
0x128207,うん!ボクひとリで«0xe2»すっごい さびしかったんだ!«0xe2»ボクと トモダチになってよ«0xe2»«*0»
0x128209,オマエ Dショットは«0xe2»もってるのか?«*0»
0x12820b,う-ん ボクが«0xe2»もっているものっていえば«0xe2»ここに おちてたこれしか«0xe2»ないんだよ«*0»
0x12820d,それだよ それが«0xe2»Dショットって いうんだ«0xe2»それじゃあ オレのバンゴウを«0xe2»おしえておいてやるよ«0xe2»また デンワしてくれよな«0xe2»«*0»
0x12820f,うん!ぜったいにデンワする!«0xe2»まっててよね«*0»
0x128211,ヤロウのデンワバンゴウを«0xe2»てにいれた«*0»
0x128213,よ-し! ボクも いっぱい«0xe2»トモダチを つくるんだ!«0xe2»そして そとを いろいろと«0xe2»みてまわるんだ!«*0»
0x128215,オマエなら たくさんの«0xe2»トモダチを つくれるよ«0xe2»がんばれよな!«0xe2»«*0»
0x128217,あリがとう!がんばるよ!«0xe2»それじゃ ボクはもう«0xe2»いくから!«0xe2»«*0»
0x128219,おう! ゲンキでな«0xe2»またデンワするからな!«*0»
0x12821b,じゃあね バイバイ!«*0»
0x12821d,こんどは みちを«0xe2»まちがえるんじゃないぞ..«0xe2»さぁ オレたちもいくか!«0xe2»«*0»
0x12821f,よう!ゲンキにしてるか?«*0»
0x128221,ん...?«0xe2»オマエは シンデンジュウの«0xe2»ところであった コドモでは«0xe2»ないか......«0xe2»たしかナマエは...«0xe2»『«&0xc92c»』と«0xe2»いったかな?«0xe2»«*0»
0x128223,お-っ!?«0xe2»オレのナマエ おぼえてて«0xe2»くれてたんだ«0xe2»オレもなかなかの もんだな«*0»
0x128225,うぬぼれるなよ....«0xe2»ところで ここに«0xe2»なにをしにきたのだ?«0xe2»«*0»
0x128227,ん? あ-そうそう«0xe2»オマエの デンワバンゴウを«0xe2»おしえてもらいに«0xe2»きたんだよ«*0»
0x128229,ワタシの デンワバンゴウを«0xe2»ききにきたのか...«0xe2»ならば このせかいの«0xe2»ル-ルにしたがうのだな«*0»
0x12822b,おう!«0xe2»かかってこい!«*0»
0x12822d,いくぞ! テレファングだ!«*0»
0x12822f,ふふ..やはリ«0xe2»オマエのつれている«0xe2»デンジュウのほうが«0xe2»つよいみたいだな«*0»
0x128231,ヘっヘ-«0xe2»んじゃ デンワバンゴウを«0xe2»コウカンしようぜ!«0xe2»«*0»
0x128233,ギプソフィ-のデンワバンゴウを«0xe2»てにいれた«*0»
0x128235,ケイタイをもって はじめて«0xe2»バンゴウを コウカンしたのが«0xe2»オマエとはな..«0xe2»«*0»
0x128237,お? ってことは«0xe2»オレが はじめての«0xe2»トモダチってことだな!«0xe2»«*0»
0x128239,ふん...なにかあったら«0xe2»よんでくれ«0xe2»ワタシは ねるぞ....«0xe2»«*0»
0x12823b,おう! ゆっくリねてくれよ!«0xe2»それじゃ-な!«*0»
0x12823d,ん-!?«*0»
0x12823f,ニンゲンだ! ニンゲンだ!«0xe2»はじめてみた-!«*0»
0x128241,なんだよっ! オマエは!?«*0»
0x128243,その あたまに かぶってる«0xe2»ものは なに-?«*0»
0x128245,その みにつけてるものは«0xe2»なんなの-?«*0»
0x128247,ね-ね- おしえてよ-!!«*0»
0x128249,だ-っ!うっとおしい!«*0»
0x12824b,ね-ね-! おしえてよ-!«*0»
0x12824d,おちつけよっ!«0xe2»オマエは いったいなにもの«0xe2»なんだ!?«0xe2»«*0»
0x12824f,そういえば じこしょうかいが«0xe2»まだだったね!«0xe2»はじめまして«0xe2»デンデルといいます«0xe2»よろしく!!«0xe2»«*0»
0x128251,ふぅ やっとおちついた«0xe2»オレは «&0xc92c»って«0xe2»いうんだ«0xe2»よろしくな«*0»
0x128253,ボク ニンゲンのトモダチは«0xe2»ひとリもいないんだ«0xe2»ねぇ ボクとトモダチに«0xe2»なってくれない?«*0»
0x128255,おう いいぜ«0xe2»デンワバンゴウを«0xe2»おしえてくれよ«0xe2»«*0»
0x128257,デンデルのデンワバンゴウを«0xe2»てにれた«*0»
0x128259,うわ-い!«0xe2»なにかあったときには«0xe2»ゼッタイにボクをよんでよね«0xe2»ゼッタイだよ!«*0»
0x12825b,わかった わかった«0xe2»よぶから しんぱいするなよ«*0»
0x12825d,うん!«0xe2»キミからの デンワまってる«0xe2»それじゃあ ボクは あそびに«0xe2»いってくるよ«0xe2»じゃあね!«0xe2»«*0»
0x12825f,ひゃっ!«*0»
0x128261,ん?«*0»
0x128263,ひっ!«*0»
0x128265,なにを こわがってるんだよ«0xe2»オレは なにもしないって«*0»
0x128267,オレのナマエは«0xe2»«&0xc92c»って«0xe2»いうんだ«0xe2»オマエのナマエ おしえて«0xe2»くれよ!«0xe2»«*0»
0x128269,............«0xe2»....レ..ル...«*0»
0x12826b,ごめん よくきこえないんだ«0xe2»もういっかい«0xe2»おしえてくれないか?«0xe2»«*0»
0x12826d,テレテル!!!!!«*0»
0x12826f,おっきいこえが«0xe2»だせるんじゃないか«0xe2»そうか テレテルっていう«0xe2»ナマエなのか-«0xe2»オレ トモダチいっぱい«0xe2»つくリたいんだ!«0xe2»オレと トモダチになって«0xe2»くれないか?«*0»
0x128271,うん!キミとなら«0xe2»トモダチになれそうだよ«0xe2»これ ボクのデンワバンゴウ«0xe2»«*0»
0x128273,テレテルのデンワバンゴウを«0xe2»てにいれた«*0»
0x128275,はじめて ニンゲンと«0xe2»デンワバンゴウの«0xe2»こうかんを したよ«0xe2»これからも よろしくね«*0»
0x128277,おう! こっちこそ«0xe2»よろしくな!«*0»
0x128279,なんだか てれくさいな..«0xe2»ちょっとそとに«0xe2»いってくる...«0xe2»じゃあ またデンワしてね«*0»
0x12827b,おう! じゃあな!«*0»
0x12827d,カイじゃないか!«0xe2»アクマデンジュウにやられた«0xe2»ケガは もうダイジョウブか?«0xe2»«*0»
0x12827f,«&0xc92c»!«0xe2»ああ もうダイジョウブだ«*0»
0x128281,そうか あのあと«0xe2»どこかヘ きえたから«0xe2»しんぱいしてたんだ«0xe2»«*0»
0x128283,«&0xc92c»!«0xe2»オマエがいなかったら«0xe2»デンジュウカイが どうなって«0xe2»いたか わからない«0xe2»れいをいう あリがとう«0xe2»そして すまなかったな«*0»
0x128285,い...いきなリなんだよ«0xe2»なんだか ちょうしくるうな«0xe2»カイらしくないぜ«0xe2»«*0»
0x128287,ふっ...«0xe2»それもそうだな...«*0»
0x128289,そうだ!«0xe2»ヂムノスのおかげで«0xe2»たすかったよ«0xe2»デンワバンゴウを かえさないと«0xe2»いけないな«0xe2»«*0»
0x12828b,そうだ«0xe2»アンヂオスのおかげで«0xe2»たすかったよ«0xe2»デンワバンゴウを かえさないと«0xe2»いけないな«0xe2»«*0»
0x12828d,いや それはオマエが«0xe2»もってるといい«0xe2»きっとこれからも やくに«0xe2»たつとおもうからな«0xe2»オレは あたらしいトモダチを«0xe2»さがすよ«*0»
0x12828f,オマエから 『トモダチ』なんて«0xe2»コトバがでるなんてな«0xe2»そうか じゃあ あリがたく«0xe2»もらっとくぜ«*0»
0x128291,オマエなら このデンジュウカイのすベてのデンジュウと«0xe2»トモダチに なれるかもな«0xe2»がんばれよ«*0»
0x128293,やっぱリ オマエって«0xe2»いいヤツだったんだな«0xe2»カイも がんばれよな«0xe2»«*0»
0x128295,ふっ...いいヤツね...«0xe2»やっぱリ なれあいは«0xe2»にがてだな...«0xe2»«*0»
0x128297,じゃあ オレはもういくぞ«*0»
0x128299,おう ゲンキでやれよ!«0xe2»それじゃあな!«*0»
0x12829b,おや- チミは«0xe2»«&0xc92c»くんじゃ«0xe2»ないですか!«0xe2»ゲンキにしてましたか!«*0»
0x12829d,あっ おっさん!«0xe2»こんなくさむらで«0xe2»なにしてるんだよ!«*0»
0x12829f,いいかげん ナマエを«0xe2»おぼえてもらえませんかね«0xe2»ワタシには ネリカラという«0xe2»ナマエがあリますから«*0»
0x1282a1,あっはっは わるいわるい«0xe2»んで おっさんはここで«0xe2»なにを してるんだ??«*0»
0x1282a3,......まったく..«0xe2»ワタシは このむらで«0xe2»もういちど やリなおす«0xe2»ことにしたのです!«0xe2»カクザアベニュ-なる«0xe2»おベントウやさんを«0xe2»オ-プンしてデンジュウカイに«0xe2»つくすつもリなのです!«*0»
0x1282a5,また そんなこといって-«0xe2»なにか たくらんで«0xe2»いるんだろ?«*0»
0x1282a7,こんどこそは ホンキです!«0xe2»これが そのしょうこです«0xe2»これをたベてみてください!«0xe2» はい  いいえ«*a»
0x1282a9,う...うまい!«0xe2»カラアゲのなかにはいってる«0xe2»スパイス..そして«0xe2»ちゅうとハンパなリょうの«0xe2»スパゲティ-...«0xe2»ほんとに これを おっさんが«0xe2»つくったのか?«*0»
0x1282ab,もちろんですよ!«0xe2»これで ワタシがホンキと«0xe2»いうことが わかったでしょう!«*0»
0x1282ad,ごめん うたがってわるかったよ«0xe2»もうすこし つくるのが«0xe2»はやければ もっと«0xe2»いいんだけどな!«0xe2»でも こんどこそは«0xe2»ホンキっぽいな«*0»
0x1282af,わかってもらえたら«0xe2»それでいいんですよ«*0»
0x1282b1,いや やっぱリおっさんは«0xe2»イマイチしんようできないから«0xe2»エンリョしとくよ«0xe2»«*0»
(No pointer),«0xe2»
0x1282b3,そんな...ひどい...«0xe2»こんどこそはホンキなのに...«*0»
0x1282b5,わ わるかったって!!«0xe2»がんばってくれよ«0xe2»おうえんは するからさ...«0xe2»«*0»
0x1282b7,まぁいいでしょう«0xe2»カクザアベニュ-が«0xe2»デンジュウカイのいたるところに«0xe2»できることをゆめみて«0xe2»ワタシは がんばリます«0xe2»カクザアベニュ-でございます«0xe2»カクザアベニュ-でございます«0xe2»«*0»
0x1282b9,...やっぱリ あんまリ«0xe2»かわってないようなきが...«*0»
0x1282bb,まぁ がんばってくれよ!«0xe2»じゃあな!«*0»
0x1282bd,...やっぱリ あんまリ«0xe2»かわってないようなきが...«*0»
0x1282bf,まぁ がんばってくれよな!«0xe2»じゃあな!«*0»
0x1282c1,カクザアベニュ-でございます!«0xe2»カクザアベニュ-でございます!«0xe2»カクザアベニュ-を«0xe2»よろしくおねがい いたします!«*0»
0x1282c3,とうっ!!«*0»
0x1282c5,はっ!!«*0»
0x1282c7,やっときたわね!!«0xe2»«&0xc92c»くん«*0»
0x1282c9,お..おねえさんたちは?«*0»
0x1282cb,ワタシのナマエは 『ほしの』«*0»
0x1282cd,そしてワタシは 『おがわ』«*0»
0x1282cf,2リあわせて«0xe2»『スマイルシスタ-ズ』よ!«*0»
0x1282d1,ワタシたちは«0xe2»このデンジュウカイを きわめた«0xe2»2リなのよ«0xe2»そして このせかいで«0xe2»さいきょうの Tファンガ-であるキミと テレファングするひを«0xe2»こころまちにしていたの«0xe2»«*0»
0x1282d3,アナタが いままで どういう«0xe2»テレファングをしてきたのか«0xe2»ためさせてもらうわ«0xe2»«*0»
0x1282d5,さぁ!どっちとテレファングを«0xe2»するの?«0xe2» ほしの  おがわ«*a»
0x1282d7,ワタシを えらんでくれたのね!«0xe2»それじゃあ テレファングよ!«*0»
0x1282d9,ワタシは アナタに まけて«0xe2»ほしかったのに-«0xe2»つぎに テレファングをするときはまけてください!«*0»
0x1282db,あらあら ほしのさん«0xe2»まけちゃったわね«0xe2»やっぱリアナタはすごいわ«0xe2»これは ワタシからの«0xe2»プレゼントよ«0xe2»«*0»
0x1282dd,『ガイアモンド』を10コ«0xe2»てにいれた«*0»
0x1282df,それじゃあね«0xe2»«&0xc92c»くん«0xe2»これからも がんばって!«0xe2»«*0»
0x1282e1,あ..あらしのような«0xe2»ふたリだった.....«*0»
0x1282e3,ワタシを えらんでくれたのね!«0xe2»それじゃあ テレファングよ!«*0»
0x1282e5,えっ!? まさかワタシが«0xe2»まけるなんて....«0xe2»あなたのそんざい はっきリいってうざいわ!«0xe2»つぎをみてなさい!«0xe2»«*0»
0x1282e7,あらあら おがわさん«0xe2»まけちゃったわね«0xe2»やっぱリアナタはすごいわ«0xe2»これは ワタシからの«0xe2»プレゼントよ«0xe2»«*0»
0x1282e9,『ガイアモンド』を10コ«0xe2»てにいれた«*0»
0x1282eb,それじゃあね«0xe2»«&0xc92c»くん«0xe2»これからも がんばって!«0xe2»«*0»
0x1282ed,あ..あらしのような«0xe2»ふたリだった.....«*0»
0x1282ef,あの カラのたからばこ..«0xe2»なにか きになる...«*0»
0x1282f1,カイを さがさないと...«*0»
0x1282f3,カイを さがさないと...«*0»
