Pointer,Japanese,English,Draft version,German,Draft version (German),Notes
0x120054,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,Bezahlt wird an der Kasse rechts.,Shop 6
0x120056,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,"Das macht dann <&0xca00> Chiru.
Ist das OK?
<0>Ja<0>Nein<*A>",,
0x120058,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,<S0><&0xca00>Ch.<*4>,,
0x12005a,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,"<S0>
<&0xca00>Ch.<*4>",,
0x12005c,チルがたリません。,Not enough chiru.,,Du hast nicht genügend Chiru.,,
0x12005e,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,Bezahlt wird an der Kasse rechts.,
0x120060,"ここでは デンジュウを
『じっけんシンカ』させることが
できます",You can evolve your Denjuu using the laboratory here.,,Hier kannst du deine Denjuu in unserem Labor entwickeln lassen.,,
0x120062,"『じっけんしよう』を
みせてください。","Let me see your ""Lab pass"".",,,Lass mich deinen Labor-Pass sehen.,
0x120064,"この『じっけんしよう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this Lab pass.,,,Dein Denjuu kann sich mit diesem Labor-Pass nicht entwickeln.,
0x120066,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,Shop 7
0x120068,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,"Das macht dann <&0xca00> Chiru.
Ist das OK?
<0>Ja<0>Nein<*A>",,
0x12006a,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,<S0><&0xca00>Ch.<*4>,,
0x12006c,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,"<S0>
<&0xca00>Ch.<*4>",,
0x12006e,チルがたリません。,Not enough chiru.,,Du hast nicht genügend Chiru.,,
0x120070,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,
0x120072,"ここでは デンジュウを
『かいぞうシンカ』させることが
できます","You can evolve your Denjuu through ""Fusion"" here.",,,,
0x120074,"『かいぞうしよう』を
みせてください。","Let me see your ""Fusion pass"".",,,,
0x120076,"この『かいぞうしよう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this Fusion pass.,,,,
0x120078,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,Shop 8
0x12007a,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,,,
0x12007c,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,,,
0x12007e,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,,,
0x120080,チルがたリません。,Not enough chiru.,,,,
0x120082,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,
0x120084,"ここでは デンジュウを
『かいぞうシンカ』させることが
できます","You can evolve your Denjuu through ""Fusion"" here.",,,,
0x120086,"『かいぞうしよう』を
みせてください。","Let me see your ""Fusion pass"".",,,,
0x120088,"この『かいぞうしよう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this Fusion pass.,,,,
0x12008a,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,Shop 9
0x12008c,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,,,
0x12008e,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,,,
0x120090,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,,,
0x120092,チルがたリません。,Not enough chiru.,,,,
0x120094,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,
0x120096,"ここでは デンジュウを
『かいぞうシンカ』させることが
できます","You can evolve your Denjuu through ""Fusion"" here.",,,,
0x120098,"『かいぞうしよう』を
みせてください。","Let me see your ""Fusion pass"".",,,,
0x12009a,"この『かいぞうしよう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this Fusion pass.,,,,
0x12009c,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,Shop 10
0x12009e,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,,,
0x1200a0,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,,,
0x1200a2,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,,,
0x1200a4,チルがたリません。,Not enough chiru.,,,,
0x1200a6,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,
0x1200a8,"ここでは デンジュウを
『じっけんシンカ』させることが
できます",You can evolve your Denjuu using the laboratory here.,,,,
0x1200aa,"『じっけんしよう』を
みせてください。","Let me see your ""Lab pass"".",,,,
0x1200ac,"この『じっけんしよう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this Lab pass.,,,,
0x1200ae,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,Shop 11
0x1200b0,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,,,
0x1200b2,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,,,
0x1200b4,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,,,
0x1200b6,チルがたリません。,Not enough chiru.,,,,
0x1200b8,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,
0x1200ba,"ここでは デンジュウを
『かいぞうシンカ』させることが
できます","You can evolve your Denjuu through ""Fusion"" here.",,,,
0x1200bc,"『かいぞうしよう』を
みせてください。","Let me see your ""Fusion pass"".",,,,
0x1200be,"この『かいぞうしよう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this Fusion pass.,,,,
0x1200c0,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,Shop 12
0x1200c2,"<&0xca00>チルになリます。
よろしいですか?
 はい  いいえ","That will be <&0xca00> chiru.
Alright?
<0>Yes<0>No<*A>",,,,
0x1200c4,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,,,
0x1200c6,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,,,
0x1200c8,チルがたリません。,Not enough chiru.,,,,
0x1200ca,"アイテムは みぎのカウンターで
おかいもとめ ください。",Please purchase your items at the right counter.,,,,
0x1200cc,"ここでは デンジュウを
『かいぞうシンカ』させることが
できます","You can evolve your Denjuu through ""Fusion"" here.",,,,
0x1200ce,"『かいぞうしよう』を
みせてください。","Let me see your ""Fusion pass"".",,,,
0x1200d0,"この『かいぞうしよう』では
あなたのつれているデンジュウを
シンカさせることができません。",You can't evolve your current Denjuu with this Fusion pass.,,,,
#######,57 strings   -   Intro story,,,,,
0x1200d2,"この おおきな きから
デンジュウカイヘ いけるという
うわさは ほんとなんでしょうか
デンジュウカイ... ...
たのしいことが いっぱい
あるんでしょうね
いってみたいなぁ....","I've heard that you can get to the Denjuu World through this giant tree...
I wonder if it's true?
The Denjuu World...
I bet there's a lot of fun things to do there...
I wish I could go see it...",,"Durch diesen Baum soll man in die Denjuu-Welt gelangen können...
Ich frage mich, ob da was dran ist.
Die Welt der Denjuu...
Ich wette, da gibt's so einiges zu erleben...
Ach, wenn ich doch nur dorthin könnte...

 ",,
0x1200d4,"あ...あぶなかったぁ...
ここまで ボールを とばせる
ようなひとは ただひとリ..","Th-That was close!
There's only one guy I know who could hit a ball this far...",,"Woah, das war knapp!
Ich kenne nur einen, der einen so langen Ball schlagen kann...",,
0x1200d6,"じぶんでうって じぶんで
ひろいにいくなんてなぁ...","Whoever hits it has to go get it, huh?",,"Toll, das hab ich nun von meinem Homerun...",,
0x1200d8,<&0xc92c> みーっけ!,"Hey there, <&0xc92c>!",,"Huhu, <&0xc92c>!",,
0x1200da,"あれ? ひょっとして アンタ
また やきゅうとかやってるの?",Huh? Are you seriously playing baseball again?,,"Nanu? Sag bloß, du spielst schon wieder Baseball...",,
0x1200dc,"なんだよ ミヨ
ベつにいいじゃないか!","Come on, Miyo, cut it out!
What's so bad about that?",,"Hast du etwa was dagegen?!
Baseball macht halt Spaß!",,
0x1200de,"はー.....
いまどき デンジュウカイに
いったことが ないコドモって
アンタと マツキヨぐらいじゃ
ないの?
まぁいいわ
ワタシは いまから
デンジュウカイにいってくるし
くやしかったら デンジュウカイにきてごらんなさい
じゃーねー バイバーイ","Hmm...
You and Matsukiyo are the only kids who still haven't been to the Denjuu World, right?
Well, whatever. I'm heading over there right now. 
You should go too if you start feeling lonely.
Later then! Bye-bye!",,,,
0x1200e0,"チクショー! なんだよアイツ!
いきなリ からんで きやがって!","Ugh, what's with her!?
She always shows up just to bug me like that!",,,,
0x1200e2,"だまっとけば かわいい
ヤツなのになぁ.....
まぁいいや さっさと ボールを
さがしにいこうっと","If she stayed quiet for once, she’d actually be kinda cute though...
Oh well, better look for that ball.",,,,
0x1200e4,"お??マツキヨじゃん
こんなところでなにしてるんだよ","Hm? Hey Matsukiyo.
What're you doing here?",,,,
0x1200e6,"<&0xc92c>くん
ボールを ここまでとばしたのはやっぱリ キミですか?",<&0xc92c>! So it really was you who hit the ball over here?,,,,
0x1200e8,おう!すげーだろ!,"Yup! Pretty awesome, huh?",,,,
0x1200ea,"あぶないじゃないですか!!
もうすこしであたるところ
でしたよ!!!","More like dangerous!!
A little closer and it would have hit me!",,,,
0x1200ec,"こまかいことは きにするなって
それよリ オマエもみんなと
いっしょに やきゅうやろうぜ","Don't worry so much.
Y'know, you really should play baseball with us some time.",,,,
0x1200ee,"<&0xc92c>くん
キミは デンジュウカイに
きょうみが わかないのですか?
やみのカーテンに さえぎられた
デンジュウカイに すむ
せいぶつ 『デンジュウ』
ワタシは たくさんの
デンジュウと トモダチに
なリたいのです!!","Aren't you a little bit interested in the Denjuu World, <&0xc92c>?
They say it's a world hidden behind a curtain of darkness, full of living creatures known as ""Denjuu""...
I'd like to become friends with as many of them as possible!",,,,
0x1200f0,"でも オレたち
Dショット もってないじゃん
Dショットが なかったら
デンジュウカイにもいけないし
デンジュウたちとも トモダチに
なれないんだろ?","Yeah, but we don't have a D-Shot.
Without a D-shot, we can't go to the Denjuu World, and you won't be able to make friends with any of them, right?",,,,
0x1200f2,"ん?デンワが なっていますね
あの きのしたからでしょうか?","Hm? I can hear a phone ringing...
Is it coming from under that tree?",,,,
0x1200f4,"ケイタイデンワが おちてる
しかもDショットだ...
<&0xc92c>くん....
デンワに でてくださいよ","There's a cell phone on the ground, and what's more, it's a D-Shot...
<&0xc92c>...
Answer it.",,,,
0x1200f6,な...なんでオレが..,Wh-Why me?...,,,,
0x1200f8,いいからはやく!!!,Just do it!!,,,,
0x1200fa,"わ わかったよ
もしもし......?","A, Alright!
Hello......?",,,,
0x1200fc,"... ... ...うーん
...イタタ
どうしたんでしょう...","... ... ...
nng... oww...
What happened?...",,,,
0x1200fe,"<&0xc92c>くん!
<&0xc92c>くん!
たいヘんですよ!!","<&0xc92c>!
<&0xc92c>!
This is serious!!",,,,
0x120100,"なんだよ うるさいなぁ!
オレは アタマがイタイんだよ","Jeez, shut up!
My head hurts!",,,,
0x120102,"うるさいぐらいなんだっていうん
ですか!
それよリ いちだいじです!","How can you tell me to shut up at a time like this?!
This is amazing!",,,,
0x120104,なにが たいヘんなんだよ..?,"Fine, what is it?",,,,
0x120106,いいですか よくきいてください,"Alright, listen to me.",,,,
0x120108,ここは デンジュウカイですよ!,We're in the Denjuu World!!,,,,
0x12010a,"なにーーーーー!!!!
デンジュウカイだって!?","Whaaaat?!!
The Denjuu World?!",,,,
0x12010c,"おそらく...
そのDショットが げんいん
でしょう...
そのDショットのアンテナを
みてください
4ほん アンテナがたっている
でしょう?
ふつうのケイタイは 3ぼんしか
アンテナが たちません
しかしデンジュウカイからの
デンパをキャッチすることが
できるケイタイ!
アンテナが4ほんたつケイタイ!
それがDショットなのです!!","Most likely...
It's because of that D-Shot we found...
Look at the D-Shot's screen for a second.
It shows four bars of reception, right?
Normal cell phones can only have up to three bars, but this phone can even catch the signals from the Denjuu World!
A cell phone with four bars of reception!
That's what a D-Shot is!!",,,,
0x12010e,"そしてDショットから
デンジュウカイにむけて
デンワをかけると アラふしぎ!
ニンゲンは デンジュウカイに
たびだつことができるのです
なんと すばらしいのでしょう!
しかし おかしいですね...
Dショットは ふつうでは
なかなかてにはいらない
ケイタイなのです
それがどうして あんなばしょに
おちていたのか...
ウーン きょうみぶかい!
あとここは どこなのか
しらベなくてはなリません!","It lets you send calls to the Denjuu World, and even allows humans to travel there!
It's truly an amazing piece of technology!
But it's strange...
Normally, D-Shots are really difficult to get ahold of.
So why would someone just leave one there...
Hmmm, it's a mystery!
Now then, where are we?
Let's start looking around!",,,,
0x120110,ここは 『トロンコむら』じゃよ,"You are in ""Toronko Village"".",,,,
0x120112,"ほぉー げんきのイイ
コドモじゃな
オマエさんが えらばれたのか
ホッホッホッ
いや なんでもないわい
どうじゃ そこのいえで
すこし ゆっくリしていかんか?","Oh? Such lively children...
Could you be the chosen ones?
Hohoho.
No, nevermind.
Come, why not take a rest in my house?",,,,
0x120114,"<&0xc92c>くん
そうしましょう
このデンジュウ わるいかたには
みえません
このかたに ついていけば
なにか わかるかもしれません","<&0xc92c>, let's go with him.
This Denjuu doesn't look like a bad person.
If we follow him, we might learn something.",,,,
0x120116,"ホッホッホッ
こわがることはない
なにも とってくったリしやせんわさて デンジュウカイに ついてしっておるかの?
 はい  いいえ<*A>","Hohoho.
There is nothing to be afraid of.
I am not going to eat you, or any such thing.
Now then, are you familiar with the Denjuu World?
<0>Yes  <0>No<*A>",,,,
0x120118,"ではまず デンジュウカイに
ついて はなそうかの","Ah, then I suppose I should explain.",,,,
0x12011a,"ニンゲンカイと デンジュウカイ
このふたつのせかいは ふだん
『やみのカーテン』で
わけられておる
しかしニンゲンのかがくしゃが
『やみのカーテン』をすリぬける
ほうほうを みつけだしたのじゃ","The Human World and the Denjuu World...
The two worlds have always been separated by a ""curtain of darkness"", but human scientists have discovered a way to pass through it.",,,,
0x12011c,"しかしこのデンジュウカイと
いうばしょは いきるには
たいヘんなせかいでな...
そこでニンゲンはワシら
デンジュウとトモダチに
なることにしたんじゃ","The Denjuu World is a harsh place to live, however...
Which is why the humans began to befriend us Denjuu.",,,,
0x12011e,"そのときに ニンゲンは
ゆうこうのあかしに
どこでもれんらくをとれる
ケイタイデンワ『Dショット』をワシらに くれたんじゃ","As a sign of the friendship between us, the humans gave us the ""D-Shot"" mobile phones so that we could always contact each other.",,,,
0x120120,"おぬしが きのしたで ひろった
ケイタイが それじゃ",That is the type of phone you found underneath the tree.,,,,
0x120122,"ワシらも いきていくために
だいじなトモダチとれんらくが
とれるケイタイが きにいった
それからというもの トモダチに
なったらデンワバンゴウを
こうかんするという ならわしが
はじまったのじゃ","Phones that allow one to contact friends at any time are a great convenience to us, as well.
Because of this, it has become customary to exchange phone numbers with any friends that we meet.",,,,
0x120124,"しかし われわれデンジュウは
しょうしょう きがあらいものが
おおくてな
じぶんよリ つよいあいてで
ないとトモダチとしてみとめん
そこでほんとうにトモダチに
なれるか しょうぶするんじゃ
デンジュウどうしのたたかい
それを『テレファング』と
よぶのじゃ","However, among us Denjuu there are many who believe that strength is key, and refuse to see those weaker than them as their friends.
In these cases, one must battle if they truly wish to befriend the other.
These fights between Denjuu are known as ""Telefang"".",,,,
0x120126,"どうじゃ?
わかったかな?
 はい  いいえ<*A>","So?
Do you understand now?
<0>Yes  <0>No<*A>",,,,
0x120128,"では おぬしらを ここによんだ
リゆうを はなそうかの",Then we shall discuss the reason you were called here.,,,,
0x12012a,"このむらのすいげんに 
ネタロというヤツがおる
こいつは いねむリぐせのある
こまったヤツなのじゃ....
ネタロは むらにミズを
はこぶだいじなしごとを
しているのじゃが ここすうじつ
れんらくがとれんのじゃ
むらにミズが こなくなって
みんな こまっておる
そこで ネタロの ようすを
みてきてほしいのじゃ","A Denjuu named Netaro lives at this village's water source.
He is always dozing off. Such a troublesome fellow....
Netaro has the important job of carrying water for the village, but for the last few days we have been unable to contact him.
If he stops bringing the water, it will trouble the villagers.
That is why we want you to look for him.",,,,
0x12012c,"ただモンダイなのは ネタロの
オトウトの ネジロじゃ
ネジロもこまったヤツで
しょうしょうカンチガイが
ひどくての
もしかしたらオマエさんに
キガイをくわえるかもしれん","There is just one problem, and that is Netaro's younger brother, Nejiro.
He is another troublemaker...
He seems to have misunderstood the situation, and may try to hurt you.",,,,
0x12012e,"そこでオマエさんには
いっぴき デンジュウをつける
オマエさんのデンジュウカイでの
はじめてのトモダチになるじゃろ","For that reason, I am having you take this Denjuu along with you.
Think of him as your first friend in the Denjuu World.",,,,
0x120130,"ワタシの ナマエはファンガスと
いいます
そして これがワタシの
バンゴウです
これからも よろしく!","Hello, my name is Fungus.
Here is my phone number.
It's nice to meet you!",,,,
0x120132,"オレの ナマエはクリプトって
いうんだ!
そして これがオレのバンゴウだ
これからもよろしくな!!","Hi! My name is Crypto!
This is my phone number.
Nice to meet ya!",,,,
0x120134,"ファンガスの デンワバンゴウを
てにいれた",Got Fungus's phone number!,,,,
0x120136,"クリプトの デンワバンゴウを
てにいれた",Got Crypto's phone number!,,,,
0x120138,"そして これは このせかいの
『ちず』じゃ
いまは なにもかかれていないが
じぶんで いったところは
みることが できるように
なっておる
もっていれば やくにたつことも
あるじゃろう
『ちず』は スタートボタンを
おすとみられるぞ","Take this as well.
It is a ""Map"" of this world.
It is blank right now, but you can use it to view the places you have been.
I am sure it will be of use to you.
You can view the Map by pressing the Start button.",,,,
0x12013a,『ちず』を てにいれた,Got the Map!,,,,
0x12013c,"<&0xc92c>くん
ワタシは このむらで
もうすこし しらベたいことが
あリますので ここで
まっています
よろしくたのみましたよ","<&0xc92c>, I want to look around this village a bit more, so I'll wait here.
Good luck!",,,,
0x12013e,"さぁ はやくネタロをおこしに
いきましょう!","Alright, let's go and wake up Netaro!",,,,
0x120140,"さぁはやくネタロをおこして
やろうぜ!","Come on, let's hurry and wake up Netaro!",,,,
0x120142,"ホッホッホッ
では きをつけていくのだぞ
かえったら おもしろいものを
みせてあげよう","Hohoho.
Well then, do be careful on your way.
I will show you something interesting when you return.",,,,
#######,70 strings   -   Toronko Village story,,,,,
0x120144,"したのひろばで
カクザとう とうしゅ
ネリカラさんの こうえんを
おこなっています
デンジュウのみなさんは 
ぜひ おたちよリください","The leader of the Kakuza Party, Mr. Nerikara, is presenting a speech in the plaza ahead.
All Denjuu are welcome to attend.",,,,
0x120146,"デンジュ...さん
..は...めに..
お..ま...さい...
..............","Denj....ns...
Th....here...ay...
..........",,,,
0x120148,ここからじゃ よくきこえないよ,I can't quite hear it from here.,,,,
0x12014a,"デンジュ...さん
..は...めに..
お..ま...さい...
..............","Denj....ns...
Th....here...ay...
..........",,,,
0x12014c,ここからじゃ よくきこえないよ,I can't quite hear it from here.,,,,
0x12014e,".....ネリカラを
よろしくおねがいします",".....And now, Mr. Nerikara.",,,,
0x120150,"デンジュウのみなさん!
きょうはワタシのために
おあつまリくださいまして
まことにあリがとうございます!
ワタシ ネリカラは
このデンジュウカイを
よリよいばしょにするため
にちや はたらきます!
ワタシをデンジュウカイの
そうリだいじんにして
いただければ かならず
このトロンコむらに
カレーショップをつくることを
おやくそくします!
このネリカラ!ネリカラを
よろしくおねがいします","Denjuu citizens!
I thank you for gathering here today.
I, Nerikara, will be working day and night to make this Denjuu World a better place!
If I am elected as Prime Minister of the Denjuu World, I promise to build a curry shop in this very village!
Remember, vote Nerikara!
Thank you!",,,,
0x120152,"では やくそくを はたすために
ワタシは どうくつヘ 
いってきます
みなさま きよきいっぴょうを
どうぞ よろしくおねがいします","Well then, to keep this promise I must now depart for the cavern...
I look forward to all of your votes!
Thank you very much!",,,,
