Pointer,Japanese,English,Draft version,Formatted?,Notes
0x15804e,"もしもし <&name>?
オレさー そろそろ あたらしい
ケイタイがほしいんだよー
トモダチにあたらしいきしゅの
はなしもきいたしさー
もし てにいれたら
みせてくれよー
おねがいだよ<*2>","Hello, <&name>? It's about time I get a new cell phone! A friend told me there's a new model out, too... If you get one, please show it to me!<*2>","Hello, <&name>? It's about time I get a new cell phone! A friend told me there's a new model out, too... If you get one, please show it to me!",0,
#######,Barran,,,,
0x158050,"<&name>
いまどこいるんだ??
え?バーラン?
ってことは トリぐみ
ヘビぐみの ケンカに
まきこまれたリしてるのか??
ハハッ オマエも
さいなんだなー
まぁ がんばれよ!じゃあな
<*2>","Hey <&name>, where
you at? Whuh? Barran?
Don't tell me you're getting
mixed up in the feud
between the Bird Clan
and the Snake Clan!
Hahah, guess you've got
some stormy weather
coming up! Laters!","Hey <&name>, where you at? Whuh? Barran?
Don't tell me you're getting mixed up in the feud between the Bird Clan
and the Snake Clan!
Hahah, guess you've got some stormy weather coming up! Laters!",1,
0x158052,"もしもしー
いま バーランにいるらしいな
トモダチから きいたよ
トリぐみのおさは
けっこう はなしがわかる
デンジュウだってきいてるから
ふつうに はなしが
できるとおもうぜ
あんしんして たずねてみな
それじゃね<*2>","Hellooo? I heard you're in
Barran right now.
Yeah, heard it from a friend!
The Bird Clan's chief
is supposed to be a pretty
reasonable guy, so I think
you should go talk to him.
G'bye!","Hellooo? I heard you're in Barran right now.
Yeah, heard it from a friend! The Bird Clan's chief
is supposed to be a pretty reasonable guy, so I think you should go talk to him. G'bye!",1,
0x158054,"おい <&name>
ゲンキでやってるかー?
バーランってまちしってるか?
そこにいる トリぐみのおさは
せいかくが けっこういけてる
デンジュウらしいから
もし いくことがあれば
あんしんして いいぜ!
それじゃあな
<*2>","Yo <&name>!
Everything good with you?
Have you heard of this town
called Barran?
The chief of the Bird Clan
there is supposed to be
a real swell dude with a
swell attitude, so don't
be scared to talk to him!
See ya!","Yo <&name>! Everything good with you?
Have you heard of this town called Barran?
The chief of the Bird Clan there is supposed to be
a real swell dude with a
swell attitude, so don't
be scared to talk to him!
See ya!",1,
0x158056,"なぁ <&name>
バーランにいる ヘビぐみの
おさって しってるか?
けっこう あわてもんらしいぜ
しかも テレファングずきと
きてるから
あいにいくときは
カクゴしていったほうが
いいぜ!
<*2>","So, <&name>…
D'you know the chief
of Barran's Snake Clan?
He's a bit of a hothead,
and what's more,
he's big into Telefang.
If you're gonna see him,
you better be ready!","So, <&name>…
D'you know the chief
of Barran's Snake Clan? He's a bit of a hothead, and what's more,
he's big into Telefang.
If you're gonna see him,
you better be ready!",1,
0x158058,"なあ <&name>
バーランにすんでる
トリぐみと ヘビぐみが
ケンカしてるの しってるか?
なんだか ヘビぐみのほうは
だれでも かんけいなく
テレファングを いどんで
くるらしいぜ
きをつけろよな
<*2>","Hey, <&name>.
Do you know about the
fight in Barran between the
Bird Clan and Snake Clan?
I've heard that the Snake
Clan is challenging anyone
to Telefangs regardless of
who they are.
Keep an eye out.","Hey, <&name>.
Do you know about the fight in Barran between the Bird Clan and Snake Clan?
I've heard that the Snake Clan is challenging anyone to Telefangs regardless of who they are.
Keep an eye out.",1,
0x15805a,"ヘビぐみのおさって
なにかを あつめるのが
すきなんだってさ!
どんなモノを あつめてるかは
しらないけどなー
やくにたつじょうほうか
どうかは わからないけど
おしえておくよ<*2>","I've heard that the chief of
the Snake Clan likes to
collect things!
But I don't know what it is
that he collects...
I don't know if the
information will be useful,
but I thought I'd tell you.","I've heard that the chief of the Snake Clan likes to collect things!
But I don't know what it is that he collects...
I don't know if the information will be useful, but I thought I'd tell you.",1,
0x15805c,"あのさー バーランに
いくことがあったらさ
ガンバンオーってヤツを
たずねてくれよ!
スゲエいいヤツだから
オマエもトモダチになれると
おもうんだ!
<*2>","You know, if you ever go to
Barran, you should visit a
guy called ""Ganbanno.""
He's a pretty good guy.
I think you guys could be
friends!","You know, if you ever go to Barran, you should visit a guy called ""Ganbanno.""
He's a pretty good guy.
I think you guys could be friends!",1,
0x15805e,"バーランのいリぐちのてまえに
みぎがわにいけるみちが
あるの しってるか?
そこをあるいてると
いっけんのいえがあって
そこにヘんなモノを
あつめてるおじさんが
いるってはなしだぜ!<*2>","Did you know that there's a
path to the right just
before the entrance to
Barran?
If you walk down that way,
there'll be a house with an
old man that collects weird
things!","Did you know that there's a path to the right just before the entrance to Barran?
If you walk down that way, there'll be a house with an old man that collects weird things!",1,
0x158060,"そっちょくにきくけどさ
オマエはトリぐみは?
それともヘビぐみは?
オレ?オレはもちろん
トリぐみだよ!
だってカワイイじゃん!<*2>","Let me ask you frankly, are
you for the Bird Clan?
Or the Snake Clan?
Me? I'm for the Bird Clan!
They're so cute, after all!","Let me ask you frankly, are you for the Bird Clan?
Or the Snake Clan?
Me? I'm for the Bird Clan!
They're so cute, after all!",1,
0x158062,"ヘんなこときくけどさ
オマエはトリぐみとヘビぐみ
どっちがすきなんだ?
オレてきには ヘビぐみだな!
だってカッコいいもん!
<*2>","I've got a random
question for you,
do you like the Bird Clan
or the Snake Clan?
It's the Snake Clan
for me!
Because they're so cool!","I've got a random question for you, do you like the Bird Clan or the Snake Clan?
It's the Snake Clan for me!
Because they're so cool!",1,
#######,Ion Island,,,,
0x158064,"おっす <&name>
イオンとうに いるんだって?
オマエも ものずきだよなー
デンワガイシャどうしが
ケンカしてるしまに
いくんだもんなー
まぁ がんばって
テレファングしてくれよなー<*2>",/0x158064/<*2>,,0,
0x158066,"ねー そこで なんか
ケンカがおきてるってうわさ
ほんとなのー?
ほんとだったらなんでなのー?
なんでか わかったら
こんどおしえてよねー
よろしくねー
それじゃーねー<*2>",/0x158066/<*2>,,0,
0x158068,"もしもし?
デンジュウたちが
テレファングのしゅぎょうを
するしまの はなしを
きいたんだけどさー
それって いま オマエが
いるところじゃないの?
それだったら オレを
よんでくれよ
そこにすんでるデンジュウと
テレファングをしてみたいんだ
たのむぜ!<*2>",/0x158068/<*2>,,0,
0x15806a,"よう <&name>
オレさー さいきん
テレファングでまけてばっかリ
なんだよー
だから イオンとうで
テレファングの しゅぎょうを
してみたいんだー
できれば こんどよんでくれよ
たのむぜ
<*2>",/0x15806a/<*2>,,0,
0x15806c,"<D98>このまえ ノイジーって
ヤツと いっしょにいたんだけど
そいつといると デンワが
かかリにくいんだよー
アイツ なんかヘんなデンパでも
だしてたのかな
あんな のうリょく なにかの
やくにたったリするのかな?
こんどあったらきいておくよ
それじゃあな<*2>",/0x15806c/<*2>,,0,
0x15806e,"<D98>このまえ イーリスで
ヘんなデンジュウを みかけたよ
なんだか やけどするとか
なんとかいってた ヘんな
ヤツだったなー
そいつのそばにいると
ケイタイの デンパが
とどきにくいんだ...
オマエも そいつを
みかけたら ちょっときを
つけたほうがいいぞ
けっこう ちのけが おおそうな
ヤツだったからな
それじゃあな<*2>",/0x15806e/<*2>,,0,
0x158070,"もリのなかで しゅぎょうしてる
デンジュウたちって
けっこう くせのあるヤツが
おおいらしいぜ
オレがしってるヤツは
しゅうちゅうすると なにも
みえなくなるヤツなんだけどな
これが けっこうつよいんだ
オレも そいつに
テレファングで かてるぐらい
がんばるぜ!
じゃあな<*2>",/0x158070/<*2>,,0,
0x158072,"オレも イオンとうで
しゅぎょうしてたときが
すこしあったんだけど
そのときみた デンジュウ
つよかったなー
まだ しゅぎょうちゅうとか
いってたけど それいじょう
つよくなって どうするんだろう
っておもっちゃったよ
<*2>",/0x158072/<*2>,,0,
0x158074,"もリのなかで しゅぎょうしてる
デンジュウのなかに いっぴき
そそっかしいヤツがいるから
きをつけろよ
いきなリ テレファング
いどんでくるからな
じゃあな
<*2>",/0x158074/<*2>,,0,
0x158076,"うわさで きいたんだけど
イオンとうには ヌシって
ヤツが いるらしいな
もリのなかにいるらしいけど
みたことあるヤツが
あんまリいないんだ
そういうヤツって なんとなく
トモダチになリたいよなー<*2>",/0x158076/<*2>,,0,
#######,Paparouna Lake,,,,
0x158078,"よう <&name>
オマエが パパルナこに
いってるっていうはなしを
きいたから デンワしたんだ
そこにある ヘんなやしきには
はいらないほうが
いいらしいぜ!
はいったヤツは
すぐに みつかって
テレファングを いどまれる
らしいからな
<*2>","Hey, <&name>!
I heard you were going to
Paparouna Lake,
so I just had to call.
I heard a rumor that it's a
way bad idea to go into the
weird house there! People
who go in get challenged to
a Telefang straight away.<*2>","Hey, <&name>!
I heard you were going to Paparouna Lake,
so I just had to call.
I heard a rumor that it's a way bad idea to go into the weird house there! People who go in get challenged to a Telefang straight away.",1,These strings have been manually formatted! ☆
0x15807a,"そこにある やしきに
こっそリ はいったヤツから
はなしを きいたんだけどさ
なんだか ヘんなしかけが
いっぱいあるんだって
そいつは そのしかけが
よくわからないから
すぐでてきたらしいんだけどな<*2>","I heard something
interesting from someone
who snuck into the house
over there...
Apparently, it's packed full
of weird doodads and
thingymajiggers!
That's all I know, though.
The guy I talked skedaddled
as soon as he saw 'em.<*2>","I heard something interesting from someone who snuck into the house over there...
Apparently, it's packed full of weird doodads and thingymajiggers!
That's all I know, though.
The guy I talked skedaddled as soon as he saw 'em.",1,
0x15807c,"パパルナこの そばにある
やしきには ヘんな
じいさんが すんでるんだって
なにしてるかは よく
わからないんだけど
よるに こっそリ
みずうみのまんなかのしまで
なにかしてるんだってさ
そういうヤツって
こわいよなー<*2>","Have you heard? A weird old
dude lives in the house by
Paparouna Lake. I don't
know what he does there,
but at night, you can see him
go out to the island
in the middle of the lake.
Isn't that mad fishy?!","Have you heard? A weird old dude lives in the house by Paparouna Lake. I don't know what he does there, but at night, you can see him go out to the island
in the middle of the lake.
Isn't that mad fishy?!",1,
0x15807e,"そこにいる じいさんって
なにかの けんきゅうを
してたんだって オレの
トモダチが いってたぜ
そのトモダチは こわくて
そのじいさんに ちかづくことが
できなかったって
いってたけどな
うさんくさいヤツには
ちかづかないのが
いちばんだよな!
<*2>","A friend of mine told me
something...
The old man there, he's doing
some sort of research.
They were too spooked to
check him out up close,
though.
It's best to stay away
from shady people like him!<*2>","A friend of mine told me something...
The old man there, he's doing some sort of research.
They were too spooked to check him out up close, though.
It's best to stay away from shady people like him!",1,
0x158080,"なー<&name>
オマエ サナエバグループって
しってる??
ニンゲンで いちばんさいしょに
このデンジュウカイに
きたヤツらが そのカイシャの
れんちゅうらしいんだけどな
しってれば ベつにいいけど
しらなかったらと おもって
デンワしたんだー<*2>","Yo, <&name>!
Have you heard of the
""Sanaeba Group""? The first
bunch of humans to come
to the Denjuu World worked
there, apparently.
Maybe you already knew
that, but I thought
I'd tell you just in case.<*2>","Yo, <&name>!
Have you heard of the ""Sanaeba Group""? The first bunch of humans to come to the Denjuu World worked there, apparently.
Maybe you already knew that, but I thought
I'd tell you just in case.",1,
0x158082,"オレのトモダチがさー
サナエバグループのヤツと
デンワバンゴウを こうかん
したらしいんだけど
そのあとから れんらくが
とれないんだ
あいつらのせいなのかな?
<*2>","So, a friend of mine traded
phone numbers with
someone from the Sanaeba
Group a while ago...
Since then, I haven't been
able to reach 'em!
Think it's related?<*2>","So, a friend of mine traded phone numbers with someone from the Sanaeba Group a while ago...
Since then, I haven't been able to reach 'em!
Think it's related?",1,
0x158084,"このさいきん パパルナこで
ヘんな くろいかげをみたって
トモダチから デンワが
かかってきたんだけど?
オマエ そのくろいかげって
みた??
もし みたんだったら
どんなのだったか こんど
おしえてくれよなー<*2>","Just recently, I had a
friend call and tell me
they saw a weird shadow in
Paparouna Lake...
Have you seen it? If you do,
tell me what it looks like!<*2>","Just recently, I had a friend call and tell me
they saw a weird shadow in Paparouna Lake...
Have you seen it? If you do, tell me what it looks like!",1,
0x158086,"そこの やしきにすんでる
じいさんが まんなかの
しまにいるときに
くろいかげを よくみるって
トモダチの デンジュウから
きいたんだー
ほんとかどうか たしかめて
くれよ
オレは こわいから
いかないけどねー
それじゃ ヨロシク!
<*2>","I heard that you usually see
the mysterious shadow
in the lake when the old
man's out on the island
in the middle. Can you
check if that's true?
No way I'm checking it out!
It's way creepy!
It's up to you.<*2>","I heard that you usually see the mysterious shadow
in the lake when the old man's out on the island
in the middle. Can you
check if that's true?
No way I'm checking it out!
It's way creepy!
It's up to you.",1,
0x158088,"むかしはさー
よくパパルナこに
つリにいったんだよ
いまじゃ なんにもつれやしない
あーあ むかしのパパルナこに
もどらないかなー<*2>","Way back, I used to go fish-
ing at Paparouna Lake!
Nowadays, there's
not even a nibble.
Oh, won't the glory days of
the lake come back?<*2>","Way back, I used to go fish-ing at Paparouna Lake! Nowadays, there's
not even a nibble.
Oh, won't the glory days of the lake come back?",1,
0x15808a,"もしかして オマエってさ
つぼとか きのはことか
うごかせちゃったリする?
たからばこだけじゃなくて
つぼのなかにも
なにか はいってるらしんだ!
いいなー!うらやましー!
<*2>","Have you been moving around
pots and boxes and stuff?
It's not just treasure
chests – apparently,
there's stuff in pots too!
Aw, I'm jealous!<*2>","Have you been moving around pots and boxes and stuff? It's not just treasure chests – apparently,
there's stuff in pots too! Aw, I'm jealous!",1,
#######,Panses,,,1,
0x15808c,"おい <&name>
パンセスむらにいる
トモダチに れんらくが
とれないんだ!
オマエ いま パンセスむらに
いるんだろ?
ちょっとしらベてくれよ
しんぱいで よるも
ねむれないんだ!
たのんだよ!<*2>","Oi, <&name>! I can't
call any of my friends
in Panses Village!
You're there now, right?
Look around a bit, won't ya?
I'm so worried I can't
catch a wink of sleep.<*2>","Oi, <&name>! I can't call any of my friends
in Panses Village!
You're there now, right?
Look around a bit, won't ya? I'm so worried I can't catch a wink of sleep.",1,These strings have been manually formatted! ☆
0x15808e,"おーい <&name>
パンセスむらで なにか
おきてるんじゃないか?
トモダチから『たすけてー』
ってデンワがかかってきて
それっきリなんだよ
おねがいだから みてきてくれ!
おねがいだから...<*2>","Hey yo, <&name>!
Is something going on
in Panses Village? A friend
who lives there called me,
said ""help meee"", and hung
up! Please, find out what's
happening! Please...<*2>","Hey yo, <&name>!
Is something going on
in Panses Village? A friend who lives there called me, said ""help meee"", and hung up! Please, find out what's happening! Please...",1,
