#,Japanese,English,Draft version,Denjuu,Notes
50,あれ?もうおわったの?,Huh? It's over already?,,Nejiro,
51,あれ?もうおわったの?,Huh? It's over already?,,Godetia,
52,あれ?もうおわったの?,Huh? It's over already?,,Curcuma,
53,あれ?もうおわったの?,Huh? It's over already?,,Tessen,
54,あれ?もうおわったの?,Huh? It's over already?,,Heliopsis,
55,あれ?もうおわったの?,Huh? It's over already?,,Hagumanoki,
56,あれ?もうおわったの?,Huh? It's over already?,,Gilerth,
57,あれ?もうおわったの?,Huh? It's over already?,,Raygarth,
58,あれ?もうおわったの?,Huh? It's over already?,,Armaru,
59,あれ?もうおわったの?,Huh? It's over already?,,Chameraid,
60,あれ?もうおわったの?,Huh? It's over already?,,Cryptoride,
61,あれ?もうおわったの?,Huh? It's over already?,,Wormiterala,
62,あれ?もうおわったの?,Huh? It's over already?,,Fungblade,
63,あれ?もうおわったの?,Huh? It's over already?,,Bulltamus,
64,あれ?もうおわったの?,Huh? It's over already?,,Puneedle,
65,あれ?もうおわったの?,Huh? It's over already?,,Kerorin,
66,あれ?もうおわったの?,Huh? It's over already?,,Sugulai,
67,あれ?もうおわったの?,Huh? It's over already?,,Cortos,
68,あれ?もうおわったの?,Huh? It's over already?,,Gaiurus,
69,あれ?もうおわったの?,Huh? It's over already?,,Midotor,
70,あれ?もうおわったの?,Huh? It's over already?,,Octor,
71,あれ?もうおわったの?,Huh? It's over already?,,Hitodeight,
72,あれ?もうおわったの?,Huh? It's over already?,,Ghosboar,
73,あれ?もうおわったの?,Huh? It's over already?,,Rasenmai,
74,あれ?もうおわったの?,Huh? It's over already?,,Scorpil,
75,あれ?もうおわったの?,Huh? It's over already?,,Armcrab,
76,あれ?もうおわったの?,Huh? It's over already?,,Angiorn,
77,あれ?もうおわったの?,Huh? It's over already?,,Gymrace,
78,あれ?もうおわったの?,Huh? It's over already?,,Lirionpu,
79,あれ?もうおわったの?,Huh? It's over already?,,Whitah,
80,あれ?もうおわったの?,Huh? It's over already?,,Potzal,
81,あれ?もうおわったの?,Huh? It's over already?,,Araneida,
82,あれ?もうおわったの?,Huh? It's over already?,,Gadhoro,
83,あれ?もうおわったの?,Huh? It's over already?,,Cliogera,
84,あれ?もうおわったの?,Huh? It's over already?,,Gust,
85,あれ?もうおわったの?,Huh? It's over already?,,Reige,
86,あれ?もうおわったの?,Huh? It's over already?,,Togeruka,
87,あれ?もうおわったの?,Huh? It's over already?,,Raigaleon,
88,あれ?もうおわったの?,Huh? It's over already?,,Gadorkuma,
89,あれ?もうおわったの?,Huh? It's over already?,,Abiras,
90,あれ?もうおわったの?,Huh? It's over already?,,Alphagos,
91,あれ?もうおわったの?,Huh? It's over already?,,Kiyoruka,
92,あれ?もうおわったの?,Huh? It's over already?,,Gymgarth,
93,あれ?もうおわったの?,Huh? It's over already?,,Baionpu,
94,あれ?もうおわったの?,Huh? It's over already?,,Warutah,
95,あれ?もうおわったの?,Huh? It's over already?,,Gunzatl,
96,あれ?もうおわったの?,Huh? It's over already?,,Arachida,
97,あれ?もうおわったの?,Huh? It's over already?,,Badhoro,
98,あれ?もうおわったの?,Huh? It's over already?,,Lampgera,
99,あれ?もうおわったの?,Huh? It's over already?,,Tempest,
100,あれ?もうおわったの?,Huh? It's over already?,,Zudoon,
101,あれ?もうおわったの?,Huh? It's over already?,,Hiyu,
102,あれ?もうおわったの?,Huh? It's over already?,,Gamazumi,
103,あれ?もうおわったの?,Huh? It's over already?,,Papaver,
104,あれ?もうおわったの?,Huh? It's over already?,,Gamuru,
105,あれ?もうおわったの?,Huh? It's over already?,,Bouvardi,
106,あれ?もうおわったの?,Huh? It's over already?,,Gaultheria,
107,あれ?もうおわったの?,Huh? It's over already?,,Dipsacus,
108,あれ?もうおわったの?,Huh? It's over already?,,Kaya,
109,あれ?もうおわったの?,Huh? It's over already?,,Denfare,
110,あれ?もうおわったの?,Huh? It's over already?,,Angieon,
111,あれ?もうおわったの?,Huh? It's over already?,,Easydog,
112,あれ?もうおわったの?,Huh? It's over already?,,Tricerarmor,
113,あれ?もうおわったの?,Huh? It's over already?,,Cryptosnipe,
114,あれ?もうおわったの?,Huh? It's over already?,,Fungboost,
115,あれ?もうおわったの?,Huh? It's over already?,,Veenica,
116,あれ?もうおわったの?,Huh? It's over already?,,Saiguliger,
117,あれ?もうおわったの?,Huh? It's over already?,,Armedurus,
118,あれ?もうおわったの?,Huh? It's over already?,,Octorifle,
119,あれ?もうおわったの?,Huh? It's over already?,,Eraserboar,
120,あれ?もうおわったの?,Huh? It's over already?,,Spearneedle,
121,あれ?もうおわったの?,Huh? It's over already?,,Gilgierth,
122,あれ?もうおわったの?,Huh? It's over already?,,Uniarmor,
123,あれ?もうおわったの?,Huh? It's over already?,,Cryptoburn,
124,あれ?もうおわったの?,Huh? It's over already?,,Fungmachine,
125,あれ?もうおわったの?,Huh? It's over already?,,Punisto,
126,あれ?もうおわったの?,Huh? It's over already?,,Suguline,
127,あれ?もうおわったの?,Huh? It's over already?,,Machurus,
128,あれ?もうおわったの?,Huh? It's over already?,,Octagun,
129,あれ?もうおわったの?,Huh? It's over already?,,Mummyboar,
130,あれ?もうおわったの?,Huh? It's over already?,,Kingpin,
131,あれ?もうおわったの?,Huh? It's over already?,,Beebalm,
132,あれ?もうおわったの?,Huh? It's over already?,,Salal,
133,あれ?もうおわったの?,Huh? It's over already?,,Enishida,
134,あれ?もうおわったの?,Huh? It's over already?,,Tulbaghia,
135,あれ?もうおわったの?,Huh? It's over already?,,Kiringiku,
136,あれ?もうおわったの?,Huh? It's over already?,,Angilance,
137,あれ?もうおわったの?,Huh? It's over already?,,Gymganon,
138,あれ?もうおわったの?,Huh? It's over already?,,Saiope,
139,あれ?もうおわったの?,Huh? It's over already?,,Wattah,
140,あれ?もうおわったの?,Huh? It's over already?,,Quetzaking,
141,あれ?もうおわったの?,Huh? It's over already?,,Arachdebaran,
142,あれ?もうおわったの?,Huh? It's over already?,,Punkhoro,
143,あれ?もうおわったの?,Huh? It's over already?,,Vikingurin,
144,あれ?もうおわったの?,Huh? It's over already?,,Storm,
145,あれ?もうおわったの?,Huh? It's over already?,,Mutoom,
146,あれ?もうおわったの?,Huh? It's over already?,,Gypsophi,
147,あれ?もうおわったの?,Huh? It's over already?,,Ruscus,
148,あれ?もうおわったの?,Huh? It's over already?,,Maoran,
149,あれ?もうおわったの?,Huh? It's over already?,,Zea,
150,あれ?もうおわったの?,Huh? It's over already?,,Gonum,
151,あれ?もうおわったの?,Huh? It's over already?,,Angipower,
152,あれ?もうおわったの?,Huh? It's over already?,,Gymzyrus,
153,あれ?もうおわったの?,Huh? It's over already?,,Canonope,
154,あれ?もうおわったの?,Huh? It's over already?,,Calm,
155,あれ?もうおわったの?,Huh? It's over already?,,Ryuuguu,
156,あれ?もうおわったの?,Huh? It's over already?,,Gigagigerth,
157,あれ?もうおわったの?,Huh? It's over already?,,Barriarm,
158,あれ?もうおわったの?,Huh? It's over already?,,Cryptoknight,
159,あれ?もうおわったの?,Huh? It's over already?,,Funglord,
160,あれ?もうおわったの?,Huh? It's over already?,,Bashou,
161,あれ?もうおわったの?,Huh? It's over already?,,Angigorgo,
162,あれ?もうおわったの?,Huh? It's over already?,,Gymbaron,
163,あれ?もうおわったの?,Huh? It's over already?,,Lirimonarch,
164,あれ?もうおわったの?,Huh? It's over already?,,Enteioh,
165,あれ?もうおわったの?,Huh? It's over already?,,Golaking,
166,あれ?もうおわったの?,Huh? It's over already?,,Kanzou,
167,あれ?もうおわったの?,Huh? It's over already?,,Ornithogalum,
168,あれ?もうおわったの?,Huh? It's over already?,,Gentiana,
169,あれ?もうおわったの?,Huh? It's over already?,,Yarrow,
170,あれ?もうおわったの?,Huh? It's over already?,,Angioros,
171,あれ?もうおわったの?,Huh? It's over already?,,Gymzatan,
172,あれ?もうおわったの?,Huh? It's over already?,,Doomsday,
173,あれ?もうおわったの?,Huh? It's over already?,,Dendel,
174,あれ?もうおわったの?,Huh? It's over already?,,Teletel,
