Pointer,Japanese,English,Draft version,German,Draft version (German),Notes
0x114050,"<&0xd460>の
めいちゅうリつがアップした!<*5>",<&0xd6a0>'s accuracy went up!<*5>,,<&0xd6a0>s Genauigkeit ist gestiegen!<*5>,,
0x114052,"<&0xd460>の
かいひリつがアップした!<*5>",<&0xd6a0>'s evasion went up!<*5>,,<&0xd6a0>s Fluchtwert ist gestiegen!<*5>,,
0x114054,"<&0xd460>の
こうげきリょくがアップした!<*5>",<&0xd6a0>'s attack power went up!<*5>,,<&0xd6a0>s Angriff ist gestiegen!<*5>,,
0x114056,"<&0xd460>の
でんまリょくがアップした!<*5>",<&0xd6a0>'s Denma attack went up!<*5>,,<&0xd6a0>s Denma-Angriff ist gestiegen!<*5>,,
0x114058,"<&0xd460>の
ぼうぎょリょくがアップした!<*5>",<&0xd6a0>'s defense went up!<*5>,,<&0xd6a0>s Abwehr ist gestiegen!<*5>,,
0x11405a,"<&0xd460>の
たいリょくがかいふくした!<*5>",<&0xd6a0> recovered HP!<*5>,,<&0xd6a0> hat LP wiederhergestellt!<*5>,,
0x11405c,どくのダメージ!<*5>,Poison damage!<*5>,,Das Gift verursacht Schaden!<*5>,,
0x11405e,しっぱい!!<*4>,Failed!!<*4>,,Fehlgeschlagen!<*4>,,
0x114060,<S0><&0xc3a0><*4>,<S0><&0xcc90><*4>,,<S0><&0xcc90><*4>,,
0x114062,わざにかからなかった!<*5>,The move had no effect!<*5>,,Der Angriff ist wirkungslos!<*5>,,
0x114064,"<S0>なかまをよびますか?
   よぶ    よばない<*4>","<S0>Call an ally?
   Yes   No<*4>",,"<S0>Einen Mitstreiter anrufen?
   Ja   Nein<*4>",,
0x114066,<S0>なかまはよベません!<*5>,<S0>Couldn't call anyone!<*5>,,<S0>Niemand zum anrufen!<*5>,,
0x114068,"<&0xd460> のわざを
おぼえた!<*5>",Learned <&0xd6a0>!<*5>,,Hat <&0xd6a0> erlernt!<*5>,,
0x11406a,"<&0xd460>
『みちにまよっている!』<*5>","<&0xd6a0>
""I'm lost!""<*5>",,"<&0xd6a0>
""Hab mich verlaufen!""<*5>",,
0x11406c,"<&0xd460>は
かくれている!<*5>",<&0xd6a0> is hiding!<*5>,,<&0xd6a0> tarnt sich!<*5>,,
0x11406e,"<&0xd460>は
じゃんぷしている!<*5>",<&0xd6a0> is jumping!<*5>,,<&0xd6a0> springt!<*5>,,
0x114070,"<&0xd460>は
ひこうしている!<*5>",<&0xd6a0> is flying!<*5>,,<&0xd6a0> fliegt!<*5>,,
0x114072,"<&0xd460>は
こんらんしている!<*5>",<&0xd6a0> is confused!<*5>,,<&0xd6a0> ist verwirrt!<*5>,,
0x114074,"<&0xd460>は
まひしている!<*5>",<&0xd6a0> is paralyzed!<*5>,,<&0xd6a0> ist gelähmt!<*5>,,
0x114076,"<&0xd460>は
のろわれている!<*5>",<&0xd6a0> is cursed!<*5>,,<&0xd6a0> ist verflucht!<*5>,,
0x114078,"<&0xd460>は
ねむっている!<*5>",<&0xd6a0> is sleeping!<*5>,,<&0xd6a0> schläft!<*5>,,
0x11407a,"<&0xd460>は
ひるんでいる!<*5>",<&0xd6a0> is flinching!<*5>,,<&0xd6a0> schreckt zurück!<*5>,,
0x11407c,"<&0xd460>は
けむリにつつまれている!<*5>",<&0xd6a0> is covered in smoke!<*5>,,<&0xd6a0> ist in Rauch gehüllt!<*5>,,
0x11407e,"<&0xd460>は
どくにおかされている!<*5>",<&0xd6a0> is poisoned!<*5>,,<&0xd6a0> ist vergiftet!<*5>,,
0x114080,"<&0xd460>は
めのまえがみえない!<*5>",<&0xd6a0> can't see!<*5>,,<&0xd6a0> kann nichts sehen!<*5>,,
0x114082,"<&0xd460>は
バリアをはっている!<*5>",<&0xd6a0> is forming a barrier!<*5>,,<&0xd6a0> bildet eine Barriere!<*5>,,
0x114084,"<&0xd460>は
けっかいをはられている!<*5>",<&0xd6a0> is forming a force field!<*5>,,<&0xd6a0> bildet ein Kraftfeld!<*5>,,
0x114086,"<&0xd460>は
しもやけになっている!<*5>",<&0xd6a0> is frostbitten!<*5>,,<&0xd6a0> ist eingefroren!<*5>,,
0x114088,"<&0xd460>は
やけどをおっている!<*5>",<&0xd6a0> is burned!<*5>,,<&0xd6a0> erleidet Verbrennungen!<*5>,,
0x11408a,"<&0xd460>は
すがたをあらわした!<*5>",<&0xd6a0> became visible!<*5>,,<&0xd6a0> ist wieder sichtbar!<*5>,,
0x11408c,"<&0xd460>は
ちゃくちした!<*5>",<&0xd6a0> came down!<*5>,,<&0xd6a0> kommt wieder runter!<*5>,,
0x11408e,"<&0xd460>は
まいおリた!<*5>",<&0xd6a0> landed!<*5>,,<&0xd6a0> ist gelandet!<*5>,,
0x114090,"<&0xd460>は
こんらんからさめた!<*5>",<&0xd6a0> came to its senses!<*5>,,<&0xd6a0> kommt wieder zu sich!<*5>,,
0x114092,"<&0xd460>の
まひがなおった!<*5>",<&0xd6a0> recovered from paralysis!<*5>,,<&0xd6a0> ist nicht länger gelähmt!<*5>,,
0x114094,"<&0xd460>の
のろいがとけた!<*5>",<&0xd6a0>'s curse was lifted!<*5>,,<&0xd6a0>s Fluch wurde aufgehoben!<*5>,,
0x114096,"<&0xd460>は
ねむリからさめた!<*5>",<&0xd6a0> woke up!<*5>,,<&0xd6a0> wacht auf!<*5>,,
0x114098,"<&0xd460>は
こうげきたいせいにもどった!<*5>",<&0xd6a0> can attack again!<*5>,,<&0xd6a0> kann wieder angreifen!<*5>,,
0x11409a,"<&0xd460>の
まわリのけむリがなくなった!<*5>",The smoke around <&0xd6a0> cleared!<*5>,,Der Rauch um <&0xd6a0> lichtet sich!<*5>,,
0x11409c,"<&0xd460>の
どくがきえた!<*5>",<&0xd6a0>'s poison faded!<*5>,,Das Gift in <&0xd6a0> schwindet!<*5>,,
0x11409e,"<&0xd460>は
めのまえがみえるようになった!<*5>",<&0xd6a0> can see again!<*5>,,<&0xd6a0> kann wieder sehen!<*5>,,
0x1140a0,"<&0xd460>の
バリアのこうかがなくなった!<*5>",<&0xd6a0>'s barrier faded!<*5>,,<&0xd6a0>s Barriere schwindet!<*5>,,
0x1140a2,"<&0xd460>の
けっかいがきえた!<*5>",<&0xd6a0>'s force field faded!<*5>,,<&0xd6a0>s Kraftfeld schwindet!<*5>,,
0x1140a4,"<&0xd460>の
しもやけがなおった!<*5>",<&0xd6a0> recovered from frostbite!<*5>,,<&0xd6a0> ist aufgetaut!<*5>,,
0x1140a6,"<&0xd460>の
やけどがなおった!<*5>",<&0xd6a0> recovered from its burn!<*5>,,<&0xd6a0> ist abgekühlt!<*5>,,
0x1140a8,"<&0xd460>は
みをかくした!<*5>",<&0xd6a0> hid itself!<*5>,,<&0xd6a0> tarnt sich!<*5>,,
0x1140aa,"<&0xd460>は
たかくとびあがった!<*5>",<&0xd6a0> jumped up high!<*5>,,<&0xd6a0> springt hoch hinauf!<*5>,,
0x1140ac,"<&0xd460>は
おおぞらにまいあがった!<*5>",<&0xd6a0> flew up high!<*5>,,<&0xd6a0> fliegt hoch hinauf!<*5>,,
0x1140ae,"<&0xd460>は
こんらんした!<*5>",<&0xd6a0> was confused!<*5>,,<&0xd6a0> wurde verwirrt!<*5>,,
0x1140b0,"<&0xd460>は
まひした!<*5>",<&0xd6a0> was paralyzed!<*5>,,<&0xd6a0> wurde gelähmt!<*5>,,
0x1140b2,"<&0xd460>は
のろわれた!<*5>",<&0xd6a0> was cursed!<*5>,,<&0xd6a0> wurde verflucht!<*5>,,
0x1140b4,"<&0xd460>は
ねむリだした!<*5>",<&0xd6a0> was put to sleep!<*5>,,<&0xd6a0> wurde in Schlaf versetzt!<*5>,,
0x1140b6,"<&0xd460>は
ひるんだ!<*5>",<&0xd6a0> flinched!<*5>,,<&0xd6a0> ist zurückgeschreckt!<*5>,,
0x1140b8,"<&0xd460>は
けむリにつつまれた!<*5>",<&0xd6a0> was covered in smoke!<*5>,,<&0xd6a0> wurde in Rauch gehüllt!<*5>,,
0x1140ba,"<&0xd460>は
どくにおかされた!<*5>",<&0xd6a0> was poisoned!<*5>,,<&0xd6a0> wurde vergiftet!<*5>,,
0x1140bc,"<&0xd460>は
めをつむった!<*5>",<&0xd6a0> covered its eyes!<*5>,,<&0xd6a0> schließt seine Augen!<*5>,,
0x1140be,"<&0xd460>は
バリアをはった!<*5>",<&0xd6a0> put up a barrier!<*5>,,<&0xd6a0> hat eine Barriere gebildet!<*5>,,
0x1140c0,"<&0xd460>は
けっかいをはられた!<*5>",<&0xd6a0> put up a force field!<*5>,,<&0xd6a0> hat ein Kraftfeld gebildet!<*5>,,
0x1140c2,"<&0xd460>は
しもやけになった!
しゅびリょくダウン!!<*5>",<&0xd6a0> was frostbitten! Defense down!!<*5>,,<&0xd6a0> wurde eingefroren! Abwehr fällt!!<*5>,,
0x1140c4,"<&0xd460>は
やけどをおった!
こうげきリょくダウン!!<*5>",<&0xd6a0> was burned! Attack power down!!<*5>,,<&0xd6a0> wurde verbrannt! Angriffskraft fällt!!<*5>,,
0x1140c6,"メモリーしますか?
   はい    いいえ<*4>","Save number?
   Yes   No<*4>",,"Nummer einspeichern?
   Ja   Nein<*4>",,
0x1140c8,"<&0xd460>の
デンワバンゴウをメモリーした!<*5>",<&0xd6a0>'s number was saved!<*5>,,<&0xd6a0>s Nummer wurde gespeichert!<*5>,,
0x1140ca,"デンワバンゴウを
メモリーしなかった!<*5>",The number wasn't saved!<*5>,,Die Nummer wurde nicht gespeichert!<*5>,,
0x1140cc,"『ちょっと よリみちするから
 すこし おくれるね!』<*4>","""I got distracted, so I'll be a bit late!""<*4>",,"""Kam was dazwischen, wird ein bisschen später!""<*4>",,
0x1140ce,"『ごめん!まよっちゃった!
 すこし おくれそう!』<*4>","""Sorry! I got lost! I'll be a bit longer!""<*4>",,"""Sorry! Hab mich verlaufen, wird etwas später!""<*4>",,
0x1140d0,<&0xd448>チル ゲット!<*5>,Got <&0xd448> Chiru!<*5>,,<&0xd448> Chiru erhalten!<*5>,,
0x1140d2,"てきのなかまは
おくれているようだ!<*4>",The enemy's ally is late to battle!<*4>,,Mitstreiter vom Herausforderer verspätet sich!<*4>,,
0x1140d4,"<&0xd448>ひきまで よベます
SELECTで ステータス<*4>","Call up to <&0xd448>! 
SELECT: Status<*4>",,"Rufe bis zu <&0xd448> an! 
SELECT: Status<*4>",,
0x1140d6,"デンパの
とどかないじょうたいです!<*5>",There's no reception!<*5>,,Es gibt keinen Empfang!<*5>,,
0x1140d8,"オマエ つよいなぁ!
デンワバンゴウ おしえてやるよ!<*5>","Wow, you're strong! Here's my phone number!<*5>",,"Wow, du bist stark! Hier hast du meine Nummer!<5*>",,
0x1140da,"<&0xc9e1>から
デンワがかかってきた!<*4>",Got a call from <&0xcca3>!<*4>,,Ein Anruf von <&0xcca3>!<*4>,,
0x1140dc,でも もうメモリーが いっぱいでとうろくできない!!<*5>,...But the phone memory is full! Can't save any more numbers!!<*5>,,Der Handyspeicher ist voll... Kein Platz für weitere Nummern!<*5>,,
0x1140de,"にがてな あいてにたいして
ひかえめダメージ!!<*5>","Disadvantage!
Lower damage!!<*5>",,"Im Nachteil!
Verringerter Schaden!!<*5>",,
0x1140e0,"とくいな あいてにたいして
わリましダメージ!!<*5>","Advantage!
Extra damage!!<*5>",,"Im Vorteil!
Zusätzlicher Schaden!!<*5>",,
0x1140e2,"<&0xd4b1>が
しょうぶを しかけてきた!<*5>","<&0xd658> has
challenged you!<*5>",,"<&0xd658> fordert
dich heraus!<*5>",,
0x1140e4,<S0>    つうしんまち!<*4>,"<S0> Connecting, please wait!<*4>",,"<S0> Verbindet, bitte warten!<*4>",,
0x1140e6,つうしん しっぱいです!<*5>,Connection failed!<*5>,,Verbindung fehlgeschlagen!<*5>,,
0x1140e8,つうしんが きれました!<*5>,The connection was closed!<*5>,,Die Verbindung wurde getrennt!<*5>,,
0x1140ea,"トレードする デンジュウを
えらんでください!<*4>",Select a Denjuu to trade!<*4>,,Wähle ein Denjuu zum Tauschen aus!<*4>,,
0x1140ec,"つうしんモードが
ちがいます!!<*5>",The connection mode doesn't match!!<*5>,,Der Verbindungsmodus stimmt nicht überein!<*5>,,
0x1140ee,"VSたいせんは
できません!!<*5>",Cannot VS battle!!<*5>,,Kein VS-Kampf möglich!<*5>,,
0x1140f0,"VSたいせんをするには
2ひき いじょうのデンジュウが
ひつようです!!<*5>",You need at least 2 Denjuu for a VS battle!!<*5>,,Für einen VS-Kampf benötigst du mindestens 2 Denjuu!<*5>,,
0x1140f2,VSたいせんOK!!<*5>,VS battle OK!!<*5>,,VS-Kampf startet!<*5>,,
0x1140f4,"トレードは
できません!!<*5>",Cannot trade!!<*5>,,Kein Tausch möglich!<*5>,,
0x1140f6,"トレードできる
デンジュウがいません!!<*5>",There are no tradable Denjuu!!<*5>,,Du besitzt keine tauschbaren Denjuu!<*5>,,
0x1140f8,トレードOK!!<*5>,Trade OK!!<*5>,,Tausch startet! <*5>,,
0x1140fa,"Dショットのメモリーが
いっぱいです!!<*5>",The D-Shot's memory is full!!<*5>,,Der Speicher deines D-Shot ist voll!<*5>,,
0x1140fc,"つうしんモードを
えらんでください!<*5>",Choose a connection mode!<*5>,,Wähle einen Verbindungsmodus!<*5>,,
0x1140fe,"てんそうする Dメロを
えらんでください!<*4>",Select the Melo-D to transfer!<*4>,,"Wähle die Melo-D, die du verschicken willst!<*4>",,
0x114100,"もしもし なんかようじ?
ひさしぶリ! げんきだったか?
おれをよんでくれるのか?
 はい  いいえ<*A>","Hi, what's up?
It's been a while! How's it going?
Are you calling me over?
<0>Yes<0>No<*A>",,"Hey, alles klar?
Lange nichts gehört! Wie geht's?
Soll ich vorbeikommen?
<0>Ja<0>Nein<*A>",,
0x114102,"もしもし なんかようじ?
ひさしぶリ! げんきだったか?<*5>","Hi, what's up? 
It's been a while! How's it going?<*5>",,"Hey, alles klar?
Lange nichts gehört! Wie geht's?<*5>",,
0x114104,"Dメロが てんそうされるまで
おまちください!<*4>",Please wait for the Melo-D to transfer!<*4>,,"Bitte warten, während Melo-D verschickt wird!<*4>",,
0x114106,"こちらから Dメロを
てんそうします<*5>",The Melo-D will now transfer.<*5>,,Die Melo-D wird nun verschickt.<*5>,,
0x114108,<S0>   そうしんちゅう!!<*4>,<S0> Transferring!!<*4>,,<S0> Wird übertragen...<*4>,,
0x11410a,おわリました!!<*5>,Complete!!<*5>,,Fertig!<*5>,,
0x11410c,"セーブする ばしょを
えらんでください!<*4>",Please choose a slot to save to!<*4>,,Bitte wähle einen freien Speicherplatz!<*4>,,
0x11410e,セーブしました!<*5>,Save complete!<*5>,,Gespeichert!<*5>,,
0x114110,データを うけとリました!<*5>,Data received!<*5>,,Daten empfangen!<*5>,,
0x114112,セーブデータが あリません!!<*5>,No save data!!<*5>,,Keine Speicherdaten!<*5>,,
0x114114,"Dメロてんそうは
できません!!<*5>",Cannot transfer the Melo-D!!<*5>,,Melo-D kann nicht verschickt werden!<*5>,,
0x114116,"どのデンジュウに
わざを かけますか?<*4>",Target which Denjuu?<*4>,,Welches Denjuu angreifen?<*4>,,
0x114118,<&0xd460>は しんかできるレベルになっています<*5>,<&0xd6a0> has reached a level where it can evolve.<*5>,,"<&0xd6a0> hat ein Level erreicht, auf dem es sich weiterentwickeln kann.<*5>",,
0x11411a,"<S0>しんかさせますか?
   はい    いいえ<*4>","<S0>Will you let it evolve?
   Yes   No<*4>",,"<S0>Lässt du die Entwicklung zu?
   Ja   Nein<*4>",,
0x11411c,"<&0xd460>は
しんかしなかった!<*5>",<&0xd6a0> didn't evolve!<*5>,,<&0xd6a0> hat sich nicht weiterentwickelt!<*5>,,
0x11411e,"<S0>ニックネームをつけますか?
   はい    いいえ<*4>","<S0>Give it a nickname?
   Yes   No<*4>",,"<S0>Einen Spitznamen geben?
   Ja   Nein<*4>",,
0x114120,クリティカル!!<*4>,Critical!!<*4>,,Kritischer Treffer!!<*4>,,
0x114122,あいても このがめんにいることをかくにんしてください<*5>,Confirm that your partner is at this screen.<*5>,,"Stelle sicher, dass dein Gegenüber ""Verlinken"" ausgewählt hat.<*5>",,
0x114124,"つうしんをかいししますか?
   はい    いいえ<*4>","Connect?
   Yes   No<*4>",,"Verbinden?
   Ja   Nein<*4>",,
0x114126,<S0>   じゅしんちゅう!!<*4>,<S0>   Receiving!!<*4>,,<S0>   Empfängt...<*4>,,
0x114128,"ターゲット
けってい!<*4>",Choose a target!<*4>,,Wähle ein Ziel aus!<*4>,,
0x11412a,"どのデンジュウを
こうげきしますか?<*4>",Which Denjuu will you attack?<*4>,,Welches Denjuu wirst du angreifen?<*4>,,
0x11412c,"<S0>   けいたいメモリー
   アクセスちゅう!<*4>",<S0>Accessing phone memory!<*4>,,<S0>Es wird auf den Handyspeicher zugegriffen!<*4>,,
0x11412e,やったぁ!! あリがとう!!,Woohoo! Thanks!!,,Yeeaah! Danke!!,,
0x114130,『うわ<nowiki>~~~</nowiki>!!』<*4>,"""Waaaaahh!!""<*4>",,"""Waaaaahh!!""<*4>",,
0x114132,"<&0xc9e1> から
デンワが かかってきた!<*3>",Got a call from <&0xcca3>!<*3>,,Ein Anruf von <&0xcca3>!<*3>,,
0x114134,おもくて おせないや...。,It's too heavy to move...,,Lässt sich kein Stück bewegen...,,
0x114136,もてそうなんだけどなぁ...。,"Aw, I thought I could lift it...",,Viel zu schwer für mich...,,
0x114138,"これくらいに しといてやるぜ!
あばよ。",/0x114138/,,/0x114138/,,
0x11413a,<S0><&0xca00>チル<*4>,<S0><&0xca00>Ch.<*4>,,<S0><&0xca00>Ch.<*4>,,
0x11413c,"<S0>
<&0xca00>チル<*4>","<S0>
<&0xca00>Ch.<*4>",,"<S0>
<&0xca00>Ch.<*4>",,
0x11413e,ちくしょー! おぼえてやがれ!,Aargh! I'll remember this!,,Mist! Das zahl ich dir heim!,,
0x114140,<S3>『やっと つながったのう<S10>...』<*2>,"<S3>""Finally, we are connected<S10>...""<*2>",,"<S3>""Endlich sind wir verbunden<S10>...""<*2>",,
0x114142,"コイツが オレの『ヘいたい』だ
オレの じゃまをするヤツには
ようしゃしない!
いくぞ! テレファングだ!<*2>","This guy is one of my ""soldiers"". 
He'll show no mercy for people who get in my way. 
Let's go! Telefang!<*2>",,"Der hier gehört zu meinen Soldaten.
Wer mir in die Quere kommt, kriegt's mit ihm zutun. 
Auf geht's! Telefang!<*2>",,
0x114144,"メールが 1けん
とどいています。",You received 1 text message.,,Du hast 1 SMS erhalten.,,
0x114146,"メールが 2けん
とどいています。",You received 2 text messages.,,Du hast 2 SMS erhalten.,,
0x114148,"メールが 3けん
とどいています。",You received 3 text messages.,,Du hast 3 SMS erhalten.,,
0x11414a,"メールが 4けん
とどいています。",You received 4 text messages.,,Du hast 4 SMS erhalten.,,
0x11414c,"<S2>
<&0xca00>","<S2>
<&0xccc0>",,"<S2>
<&0xccc0>",,
0x11414e,"<&0xca53> の <&0xc9e1>
から デンワが かかってきた!<*3>",Got a call from <&0xca53>'s <&0xcca3>!<*3>,,Einen Anruf von <&0xca53>s <&0xcca3>!<*3>,,
0x114150,とびらはかたくとざされている。,The door is closed tightly.,,Die Tür ist fest verschlossen.,,
0x114152,<S10>......<S30>.<S1>いらない。,<S10>......<S30>.<S1>No thanks.,,"<S10>......<S30>.<S1>Nein, danke.",,
0x114154,"<&0xca53> を
<&0xc9e1> ヘプレゼントした",You gave <&0xcca3> the <&0xd6b1>.,,You gibst <&0xcca3> das <&0xd6b1>.,,
0x114156,"<&0xc9e1> は
ふてきなえみを うかベた。",<&0xcca3> flashed a fearless smile.,<&0xcca3> flashed a fearless smile.,<&0xcca3> strahlt vor Selbstbewusstsein.,,
0x114158,"<&0xca53>で DNAを
さいしゅ しようとした...。",Tried to harvest DNA with the <&0xd6b1>,,"Es wird versucht, mit <&0xd6b1> DNA zu gewinnen...",,
0x11415a,"が...<&0xc9e1> からは
DNAを さいしゅ することが
できない。",But... You couldn't get any DNA from <&0xcca3>.,,Leider konnte aus <&0xcca3> keine DNA gewonnen werden.,,
0x11415c,<&0xca53> をてにいれた。,Obtained <&0xd6b1>.,,<&0xd6b1> erhalten.,,
0x11415e,"かいぞうをつづけますか?
 はい  いいえ<*A>","Continue fusing?
 Yes   No<*A>",,"Weiter fusionieren?
 Ja   Nein<*A>",,
0x114160,"けいけんちをすこしえた。
かいぞうをつづけますか?
 はい  いいえ<*A>","Received a small amount of experience.
Continue fusing?
<0>Yes<0>No<*A>",,"Eine kleine Menge an Erfahrungspunkten erhalten.
Weiter fusionieren?
<0>Ja<0>Nein<*A>",,
0x114162,"けいけんちをえた。
かいぞうをつづけますか?
 はい  いいえ<*A>","Received some experience.
Continue fusing?
<0>Yes<0>No<*A>",,"Einiges an Erfahrungspunkten erhalten!
Weiter fusionieren?
<0>Ja<0>Nein<*A>",,
0x114164,"けいけんちをかなリえた!!
かいぞうをつづけますか?
 はい  いいえ<*A>","Received a large amount of experience!!
Continue fusing?
<0>Yes<0>No<*A>",,"Eine große Menge an Erfahrungspunkten erhalten!!
Weiter fusionieren?
<0>Ja<0>Nein<*A>",,
0x114166,<S3>かいぞうかいし!!<*4>,<S3>Fusion in progress!!<*4>,,<S3>Fusion im Gange!<*4>,,
0x114168,<S3>じっけんかいし!!<*4>,<S3>Experiment in progress!!<*4>,,<S3>Experiment im Gange!!<*4>,,
0x11416a,"<&0xca53> は
かいぞうしんか した!!
<&0xca00> になった。<*2>","<&0xd6b1> has Fusion evolved!!
Evolved into <&0xccc0>.<*2>",,"<&0xca53> hat sich durch Fusion weiterentwickelt!!
Es hat sich zu <&0xca00> entwickelt!<*2>",,
0x11416c,"<&0xca53> は
じっけんしんか した!!
<&0xca00> になった。<*2>","<&0xd6b1> has Lab evolved!
Evolved into <&0xccc0>.<*2>",,"<&0xca53> hat sich im Labor weiterentwickelt!!
Es hat sich zu <&0xca00> entwickelt.<*2>",,
