#,Japanese,English,Draft version,Denjuu,Notes
68,けんざん!,I'm on the scene!,,Gaiurus,Shared with Byakubu (013)
69,おまたせー,Kept you waiting~,,Midotor,Shared with Telopea (014)
70,おまたせタコ,"I'm here, octo.",,Octor,Shared with Mantea (015)
71,...ついた,...Made it.,,Hitodeight,Shared with Ixora (016)
72,とうちゃくしたぜ,I've arrived!,,Ghosboar,Shared with Myrtus (017)
73,ついたっクス,"Heheh, I'm here!",,Rasenmai,Shared with Lychnis (018)
74,シャカシャカきた,"Snip snip, I'm here!",,Scorpil,Shared with Lapeirousia (019)
75,きたカニよー,Crab coming~,,Armcrab,Shared with Bubaria (020)
76,またせたなっ!,"Made you wait, huh!",,Angiorn,Shared with Angios (021)
77,オレにまかせな!,Leave it to me!,,Gymrace,Shared with Gymnos (022)
78,ついたっペ,"I'm here, ope!",,Lirionpu,Shared with Liriope (023)
79,ウキッキー,Ook eek eeeek!,,Whitah,
80,おまたっ!,Finally!,,Potzal,Shared with Sorghum (025)
81,またせたなっ!,"Made you wait, huh!",,Araneida,Shared with Eryngo (026)
82,きたホロウ,"I'm here, hoo.",,Gadhoro,Shared with Noriutsugi (027)
83,きたもんネ,"I'm here, y'know?",,Cliogera,Shared with Pampas (028)
84,ピューときたぜ,"Pheww, I'm here!",,Gust,Shared with Rhodanthe (029)
85,どうもどうも,"Why, hello!",,Reige,Shared with Lycoris (030)
86,ビバっときたぜ,"Viva, I'm here!",,Togeruka,Shared with Viburnum (031)
87,オレにまかせな!,Leave it to me!,,Raigaleon,Shared with Funnel (032)
88,もリのなーかー,I met a bear! ♫,,Gadorkuma,Shared with Vanda (033)
89,うむ ついたぞ,"Mhm, I'm here. ",,Abiras,
90,よーおまたせ,"Yo, thanks for waiting!",,Alphagos,Shared with Obana (035)
91,ビバっときたぜ,"Viva, I'm here!",,Kiyoruka,Shared with Viburnum (031)
92,オレにまかせな!,Leave it to me!,,Gymgarth,Shared with Gymnos (022)
93,ついたっペ,"I'm here, ope!",,Baionpu,Shared with Liriope (023)
94,ウキキキキー,Ook eek eek eek!,,Warutah,
95,おまたっ!,Finally!,,Gunzatl,Shared with Sorghum (025)
96,またせたなっ!,"Made you wait, huh!",,Arachida,Shared with Eryngo (026)
97,きたホロウ,"I'm here, hoo.",,Badhoro,Shared with Noriutsugi (027)
98,きたもんネ,"I'm here, y'know?",,Lampgera,Shared with Pampas (028)
99,ピューときたぜ,"Pheww, I'm here!",,Tempest,Shared with Rhodanthe (029)
100,やーどうも,"Hey, what's up?",,Zudoon,
101,きたダよ!,I'm HERE!,,Hiyu,
102,おーまたーせー,Thanks for waaaiting~,,Gamazumi,
103,ここでいのか?,Is this the place?,,Papaver,
104,なにかようか,You need something?,,Gamuru,
105,おまちどーさま!,Thanks for waitin'!,,Bouvardi,
106,どいつがあいてだ,Who's my enemy?,,Gaultheria,
107,キュルキュルきた,"Twirl, twirl... Here!","Twirl twirl... Here! / Twirl, twirl... Here!",Dipsacus,
108,きったニャーン,"I'm here, meow! ♫","I'm here, meow~ / I'm here, meow! ♫",Kaya,
109,もしもし?,Hello?,,Denfare,
110,またせたなっ!,"Made you wait, huh!",,Angieon,Shared with Angios (021)
111,ブロブロロン!,Vrrroooom!,,Easydog,
112,ついたよー,I'm here!,,Tricerarmor,Shared with Oshe (003)
113,またせたなっ!,"Made you wait, huh!",,Cryptosnipe,Shared with Crypto (005)
114,おまたせしました!,Thanks for waiting!,,Fungboost,Shared with Fungus (007)
115,ついたプニ,"I'm here, puni!",,Veenica,Shared with Punica (009)
116,オレにまかせな!,Leave it to me!,,Saiguliger,
117,けんざん!,I'm on the scene!,,Armedurus,Shared with Byakubu (013)
118,おまたせタコ,"I'm here, octo.",,Octorifle,Shared with Mantea (015)
119,とうちゃくしたぜ,I've arrived!,,Eraserboar,Shared with Myrtus (017)
120,シャカシャカきた,"Snip snip, I'm here!",,Spearneedle,Shared with Lapeirousia (019)
121,とうちゃくしたぜ,I've arrived!,,Gilgierth,Shared with Tsunonasu (001)
122,ついたよー,I'm here!,,Uniarmor,Shared with Oshe (003)
123,またせたなっ!,"Made you wait, huh!",,Cryptoburn,Shared with Crypto (005)
124,おまたせしました!,Thanks for waiting!,,Fungmachine,Shared with Fungus (007)
125,ついたプニ,"I'm here, puni!",,Punisto,Shared with Punica (009)
126,はやかっただろ,"Pretty quick, huh?",,Suguline,Shared with Suguri (011)
127,けんざん!,I'm on the scene!,,Machurus,Shared with Byakubu (013)
128,おまたせタコ,"I'm here, octo.",,Octagun,Shared with Mantea (015)
129,とうちゃくしたぜ,I've arrived!,,Mummyboar,Shared with Myrtus (017)
130,シャカシャカきた,"Snip snip, I'm here!",,Kingpin,Shared with Lapeirousia (019)
131,はやかっただろ,"Pretty quick, huh?",,Beebalm,
132,きたっちゃよー,"Heh, I'm here!",,Salal,
133,ついたタイ!,I'mma here!,,Enishida,
134,キリキリキリ,Cut cutty cut-cut!,Cut cutty cut-cut!,Tulbaghia,
135,きたぜきたぜー!,"I'm here, I'm here!",,Kiringiku,
136,またせたなっ!,"Made you wait, huh!",,Angilance,Shared with Angios (021)
137,オレにまかせな!,Leave it to me!,,Gymganon,Shared with Gymnos (022)
138,ついたっペ,"I'm here, ope!",,Saiope,Shared with Liriope (023)
139,ウキキー,Ook ook eek eek!,,Wattah,Shared with Waratah (024)
140,おまたっ!,Finally!,,Quetzaking,Shared with Sorghum (025)
141,またせたなっ!,"Made you wait, huh!",,Arachdebaran,Shared with Eryngo (026)
142,きたホロウ,"I'm here, hoo.",,Punkhoro,Shared with Noriutsugi (027)
143,きたもんネ,"I'm here, y'know?",,Vikingurin,Shared with Pampas (028)
144,すいさんっ!,Pardon me!,,Storm,
145,よんだかね?,You called for me?,,Mutoom,
146,いちいちよぶな!,Stop calling me!,,Gypsophi,
147,よんだかね?,You called for me?,,Ruscus,
148,ケケケよんだか?,"Keheheh, you called?",,Maoran,
149,.......,..........,,Zea,
150,きたんだよーん!,I'm heeere!,,Gonum,
151,またせたなっ!,"Made you wait, huh!",,Angipower,Shared with Angios (021)
152,オレにまかせな!,Leave it to me!,,Gymzyrus,Shared with Gymnos (022)
153,ついたっペ,"I'm here, ope!",,Canonope,Shared with Liriope (023)
154,またせたなっ!,"Made you wait, huh!",,Calm,
155,よんだかね?,You called for me?,,Ryuuguu,Shared with Ruscus (147)
156,とうちゃくしたぜ,I've arrived!,,Gigagigerth,Shared with Tsunonasu (001)
157,ついたよー,I'm here!,,Barriarm,Shared with Oshe (003)
158,またせたなっ!,"Made you wait, huh!",,Cryptoknight,Shared with Crypto (005)
159,おまたせしました!,Thanks for waiting!,,Funglord,Shared with Fungus (007)
160,われをよんだか?,Thou hast called me?,,Bashou,
161,またせたなっ!,"Made you wait, huh!",,Angigorgo,Shared with Angios (021)
162,オレにまかせな!,Leave it to me!,,Gymbaron,Shared with Gymnos (022)
163,ついたっペ,"I'm here, ope!",,Lirimonarch,Shared with Liriope (023)
164,ウキキー,Ook ook eek eek!,,Enteioh,Shared with Waratah (024)
165,いちいちよぶな!,Stop calling me!,,Golaking,Shared with Gypsophi (146)
166,コーン!,Howwl!,,Kanzou,
167,ヒーン!,Neighh!,,Ornithogalum,
168,ケーン!,Caaaw!,,Gentiana,
169,クククク,Heh heh heh...,,Yarrow,
170,またせたなっ!,"Made you wait, huh!",,Angioros,Shared with Angios (021)
171,オレにまかせな!,Leave it to me!,,Gymzatan,Shared with Gymnos (022)
172,ガガガガガガッ!,Gah hah hah hah!,,Doomsday,
173,もしもしー,Hello~?,,Dendel,
174,きましたー,I'm here~,,Teletel,
