Pointer,Japanese
0x11c03a,せんきょけんのない コドモは«0xe2»こなくてもいいわよ«0xe2»あっ!うしろのデンジュウさんは«0xe2»きてくださいね!«*0»
0x11c03c,デンジュウのみなさん!«0xe2»きょうはわたくしのために«0xe2»おあつまリくださいまして«0xe2»まことにあリがとうございます!«0xe2»わたくし ネリカラは«0xe2»このデンジュウカイを«0xe2»よリよいばしょにするため«0xe2»にちや はたらきます!«0xe2»ワタシをデンジュウカイの«0xe2»そうリだいじんにして«0xe2»いただければ かならず«0xe2»このトロンコむらに«0xe2»カレ-ショップをつくることを«0xe2»おやくそくします!«0xe2»このネリカラ!ネリカラを«0xe2»よろしくおねがいします«*0»
0x11c03e,なによ アナタは?«0xe2»ワタシたち カクザとうは «0xe2»おいしいカレ-を つくるために«0xe2»おいしいミズがひつようなの!«0xe2»だから このなかに いれる«0xe2»わけには いかないわ«0xe2»このドウクツに はいリたければ«0xe2»ネリカラさんの はなしを«0xe2»きいていらっしゃい«0xe2»«*0»
0x11c040,ヘんな おじさんが うえの«0xe2»ほうヘ いったんだけど«0xe2»なにをしに いったんだろう?«0xe2»ネタロに ようじかな?«*0»
0x11c042,ネタロの いねむリぐせも«0xe2»こまったもんだよね«*0»
0x11c044,ここは クリノンむらっていう«0xe2»ところだよ«*0»
0x11c046,クリノンむらは いまたいヘんに«0xe2»いそがしいんだ«*0»
0x11c048,もんだいかいけつだ-!«0xe2»よかったよかった«*0»
0x11c04a,アンテナのきにはいるための«0xe2»カギをだれかが もちだして«0xe2»しまったダスよ«0xe2»«*0»
0x11c04c,こまったダスよ-«0xe2»これでは イ-リスからサカナが«0xe2»かえないダスよ-«0xe2»«*0»
0x11c04e,これで イ-リスから«0xe2»おいしいさかなが かえるように«0xe2»なったダス-«0xe2»«*0»
0x11c050,クリノンむらはちいさなむらなの«0xe2»アンテナのきが なくなると«0xe2»すごくこまるのよ-«0xe2»«*0»
0x11c052,まったく ダレがアンテナのきを«0xe2»つかえなくしてしまったの?«*0»
0x11c054,はんにんは カクザとうとか«0xe2»いうヤツらだったのね«0xe2»トモダチの デンジュウにも«0xe2»デンワで おしえておかなくちゃ«*0»
0x11c056,そこの いえにいるデンジュウは«0xe2»アンテナのきのカギとうばん«0xe2»だったダス«0xe2»カギがなくなったって«0xe2»おおさわぎしてたダスが...«0xe2»«*0»
0x11c058,カギがなくなったって«0xe2»ほんとうダスか?«*0»
0x11c05a,あのさわぎは やっぱリ«0xe2»ほんとうだったダスね...«0xe2»でも カイケツしてよかったダス«0xe2»«*0»
0x11c05c,かいがんのよこにあるドウクツに«0xe2»むらのもんでない デンジュウが«0xe2»はいっていくのをみたダス«0xe2»アレはだれだったんダスか?«0xe2»あそこは はいっちゃいけない«0xe2»ところダス«*0»
0x11c05e,やっぱリ あそこは«0xe2»はいったら いけないところ«0xe2»だったダスね«0xe2»わるいことは できないもんダス«*0»
0x11c060,はまベにいる ニンゲンの«0xe2»オンナのコがなにかみたって«0xe2»いっていたダスけど«0xe2»ほんとうなんダスかね...«*0»
0x11c062,しかし ニンゲンってのは«0xe2»すごいダスな-«0xe2»キカイなんてベんリなモノを«0xe2»どんどんみつけてくるダスから«0xe2»エッ? キカイってほリおこして«0xe2»みつけたんじゃないんダスか?«*0»
0x11c064,そうダスか- キカイって«0xe2»つくるものだったんダスか-«0xe2»オラも つっくってみるダスよ-«0xe2»やるダスよ-«*0»
0x11c066,...ところで キカイって«0xe2»なにをつかって つくるダスか?«0xe2»...キカイはキカイをつかって«0xe2»つくるダスか?«0xe2»そ そのキカイはどうやって«0xe2»つくるダスか?«0xe2»え-! やっぱリキカイがいるん«0xe2»ダスか!!«*0»
0x11c068,...キカイをつくることは«0xe2»あきらめたダス«0xe2»キカイなんて なくったって«0xe2»いきていけるダス!«0xe2»テレビがあればいいダス«0xe2»«*0»
0x11c06a,はしのむこうにいるデンジュウは«0xe2»みたことないヤツダス«*0»
(No pointer),なんだかあやしいダス...«0xe2»キケンなにおいがするダス...«*0»
(No pointer),アンテナのきのことに«0xe2»かんけいあるかもしれんダス..«*0»
0x11c06c,みためで はんだんしては«0xe2»ダメなんダスね-«0xe2»これからは きをつけるダス«0xe2»«*0»
0x11c06e,ね-ね-«0xe2»なにかあったの?«*0»
0x11c070,なにが あったか«0xe2»おしえなさいよ-«*0»
0x11c072,デンジュウにはおおきくわけて«0xe2»にしゅるい いるってしっている«0xe2»ダスか?«0xe2»«*0»
0x11c074,デンジュウには«0xe2»『しぜんデンジュウ』と«0xe2»『ぶんめいデンジュウ』の«0xe2»にしゅるいダス«0xe2»しぜんデンジュウは«0xe2»たたかえばたたかうほど«0xe2»シンカしていくダス«0xe2»でも ぶんめいデンジュウは«0xe2»じぶんひとリではシンカ«0xe2»できないダス«0xe2»ぶんめいデンジュウを«0xe2»シンカさせるには «0xe2»ほかのデンジュウのDNAを«0xe2»かけあわせた『じっけん』を«0xe2»しないといけないんダス«0xe2»«*0»
0x11c076,DNAはデンジュウにテレカを«0xe2»つかうと とれるばあいが«0xe2»あるダス«0xe2»DNAが てにはいったら«0xe2»ショップの ひだリがわの«0xe2»カウンタ-ヘいくダス!«*0»
0x11c078,デンジュウに キカイを«0xe2»つけれるってこと しっている«0xe2»ダスか?«0xe2»«*0»
0x11c07a,おねがいダス!«0xe2»カギをとリかえしてきてくれダス«*0»
0x11c07c,カギをとリかえしてくれて«0xe2»あリがとうダス!«0xe2»おれいに ドウクツの なかに«0xe2»ある たからものも«0xe2»アンテナのきのカギも«0xe2»あげるダス!«*0»
0x11c07e,ほんとうにあリがとうダス!«*0»
0x11c080,あっ!なんだね!キミたちは!«0xe2»ここは たちいリキンシだぞ!«0xe2»さっさともどリなさい!«0xe2»もどらないなら...«0xe2»チカラずくでかえって«0xe2»もらいますよ!«*0»
0x11c082,うん?おいオマエら«0xe2»ダレのきょかをもらって«0xe2»ここにはいってきた?«0xe2»みはリのデンジュウは なにを«0xe2»しているんだ...«0xe2»しょうがない オレがおいだして«0xe2»やるか!«0xe2»«*0»
0x11c084,イヤだな- こんなせまい«0xe2»ところでみはリなんて...«0xe2»どうして オレこんなことを«0xe2»しているんだ...«0xe2»かったリ-な-«0xe2»で なにかよう?テレファング?«0xe2»めんどくさいなぁ«0xe2»«*0»
0x11c086,アレレ!アレレレレ!«0xe2»オレのあいぼうが どこかに«0xe2»いったんだよ?«0xe2»いっしょに みはリをしようって«0xe2»やくそくしたのに«0xe2»あっ! さてはコゾウ!«0xe2»オマエがなにかしたんだな!«0xe2»オレのあいぼうをかえしやがれ!«*0»
0x11c088,アレレ!アレレレレ!«0xe2»アイツどこにいったんだ?«0xe2»したのみちで まちあわせしたのになんでいないんだ???«0xe2»...ところでキミ«0xe2»どこからきたの?«*0»
0x11c08a,クリノンむらは われらが«0xe2»カクザとうのほんきょちに«0xe2»なるのだ!«0xe2»このドウクツにねむっている«0xe2»アイテムをてにいれるベく«0xe2»タバスコさまが おくのヘヤに«0xe2»いっていらっしゃる!«0xe2»ジャマするものはようしゃしない«*0»
0x11c08c,クリノンむらは イ-リスに«0xe2»つながるだいじなポイント«0xe2»ここをおさえれば せんきょを«0xe2»おこなっても かならず«0xe2»とうせんかくじつだ-!«0xe2»あかるいミライをつくリます!«0xe2»カクザとう!カクザとうで«0xe2»ございます!«*0»
0x11c08e,かえリうちにされてしまった-«0xe2»それでは みなさま«0xe2»あかるいミライを-!«0xe2»«*0»
0x11c090,しょうがない おいだされて«0xe2»やるか まったく...«*0»
0x11c092,しょせん アルバイトだからな-«0xe2»こんなもんかな«0xe2»もらうモノだけもらって«0xe2»かえろ-っと«*0»
0x11c094,オレの あいぼう....«0xe2»ほんとに どこいったんだろう?«*0»
0x11c096,あれれっ?«0xe2»テレファングにまけちゃった«*0»
0x11c098,もうしわけあリません«0xe2»タバスコさま-!!!!!«*0»
0x11c09a,オレにかっても タバスコさまにはかてないさ«0xe2»それでは あかるいミライを-«0xe2»«*0»
0x11c09c,ここは うみのみえるまち«0xe2»イ-リスです«*0»
0x11c09e,このまま したにいけばうみに«0xe2»でますよ«*0»
0x11c0a0,うみにすむデンジュウたちが«0xe2»おこっているんだ...«*0»
0x11c0a2,どうしてうみのデンジュウたちが«0xe2»おこっているのか «0xe2»よくわからないんだ«0xe2»«*0»
0x11c0a4,うみの デンジュウたちの«0xe2»きげんが なおったみたいだね«*0»
0x11c0a6,うみのデンジュウたちは«0xe2»ウワサほどわるいヤツらじゃない«*0»
0x11c0a8,うみのデンジュウたちは«0xe2»からだのおおきなれんちゅうが«0xe2»いるからカンチガイされる«0xe2»だけだよ«*0»
0x11c0aa,いまのうみのデンジュウたちは«0xe2»おこってこわいけどね...«*0»
0x11c0ac,アンテナのきは いまの«0xe2»デンジュウカイには なくては«0xe2»ならないものだからね«0xe2»うみの デンジュウの きげんが«0xe2»なおって よかったよ«0xe2»«*0»
0x11c0ae,イ-リスは サカナがたくさん«0xe2»つれるってきいたから«0xe2»きてみたのに うみにでることが«0xe2»できないんだ...«*0»
0x11c0b0,もしかして つリびとのマナ-が«0xe2»わるくて うみのデンジュウが«0xe2»おこっているんじゃ...«0xe2»«*0»
0x11c0b2,つリびとの マナ-が«0xe2»わるいわけじゃ なかったんだ«0xe2»でも きをつけないとね«*0»
0x11c0b4,これで つリが できるように«0xe2»なったよ«0xe2»イ-リスに きたかいが«0xe2»あるってもんだね!«*0»
0x11c0b6,イ-リスヘようこそ!«0xe2»ここのうみはキレイですよ!«*0»
(No pointer),でもいまはうみのデンジュウが«0xe2»おこっているので«0xe2»パ-ムかいをわたることが«0xe2»できません...«*0»
0x11c0b8,パ-ムかいを わたることが«0xe2»できるように なリましたよ«*0»
0x11c0ba,イ-リスのどこかに ドウクツが«0xe2»あるらしいんだけど «0xe2»どこからいけるのか ダレも«0xe2»しらないんだ«*0»
0x11c0bc,ボクらは しんリんけいびたい!«0xe2»うみもだいじだけど«0xe2»もリのきも たいせつに!«0xe2»«*0»
0x11c0be,トリパむらには このおくにある«0xe2»ほこらから いけるんだ«*0»
0x11c0c0,ボクらは しんリんけいびたい!«0xe2»うみもだいじだけど«0xe2»もリのきも たいせつに!«*0»
0x11c0c2,したのガケからも うみが«0xe2»みえるわよ«*0»
0x11c0c4,さっき かいがんで«0xe2»うみのデンジュウがいて«0xe2»こわくなってにげてきちゃったよ«0xe2»うみのデンジュウって«0xe2»ニンゲンをおそうんでしょ?«0xe2»«*0»
0x11c0c6,う-ん«0xe2»しかし なんておそろしい«0xe2»デンジュウだったんだ«0xe2»もう たベられそうだったよ!«*0»
0x11c0c8,うみのデンジュウのなかにも«0xe2»イイヤツはいるんだ«0xe2»オレのトモダチもそうだったよ«0xe2»でもいまはデンワにもでないんだ«*0»
0x11c0ca,オレがアイツをおこらせた?«0xe2»ベつにおこらせるようなことは«0xe2»してないとおもうんだけど...«0xe2»う-ん...いくらかんがえても«0xe2»おもいつかないよ«0xe2»«*0»
0x11c0cc,トモダチと デンワでしゃベる«0xe2»ことができたんだ«0xe2»きらわれたのかと おもったよ«*0»
0x11c0ce,ひどいことする ニンゲンも«0xe2»いるんだね«0xe2»でも みんなが そういうわけじゃないんだけどね«*0»
0x11c0d0,ガケのしたに ドウクツが«0xe2»みえるよね?«0xe2»あそこになにかあると«0xe2»ボクはかんがえているんだ«*0»
0x11c0d2,う-ん«0xe2»いったい どうやればあそこに«0xe2»いけるのかな-?«0xe2»«*0»
0x11c0d4,イ-リスからみえるうみは«0xe2»パ-ムかいといって«0xe2»うみのデンジュウたちが«0xe2»たくさんくらしているんだよ«*0»
0x11c0d6,イ-リスにはキカイをうっている«0xe2»ショップが いっけんも«0xe2»まだないんだ...«0xe2»イナカのクリノンむらでさえ«0xe2»ショップが あるのに...«0xe2»«*0»
0x11c0d8,パ-ムかいのはしのほうに«0xe2»キカイのまち フリジアにつづく«0xe2»アンテナのきがはえているよ«0xe2»«*0»
0x11c0da,イ-リスには ふるくから«0xe2»『うみのドウクツ』とよばれる«0xe2»いせきがあるとされています«0xe2»ですが どこにあるのかはダレも«0xe2»しリません«0xe2»うみのデンジュウたちなら«0xe2»なにかしっているかも«0xe2»しれませんが...«*0»
0x11c0dc,ここはしんリんけいびたいの«0xe2»ほんぶです«0xe2»もリを マナ-のわるいニンゲン«0xe2»からまもることをしごとに«0xe2»しています«*0»
0x11c0de,ようこそいらっしゃいました«0xe2»ここは うみのデンジュウの«0xe2»まもリがみをまつるほこらに«0xe2»いくための ヒミツのかくれが«0xe2»アナタはわれわれのトモダチと«0xe2»みとめられました«0xe2»うみのデンジュウのせいいきに«0xe2»ごあんないしましょう«0xe2»それからせいいきから«0xe2»おかえリのさいは うきしまの«0xe2»まんなかにたっていただければ«0xe2»イ-リスにもどってくることが«0xe2»できます«0xe2»では いってらっしゃい...«*0»
0x11c0e0,どうですか?デンジュウカイにも«0xe2»だいぶ なれてきましたか?«*0»
0x11c0e2,デンジュウカイと ニンゲンカイ«0xe2»デンワをつかって ふたつの«0xe2»せかいをいききできるなんて«0xe2»すばらしいですね«*0»
0x11c0e4,ニンゲンめ!«0xe2»また しょうこリもなく«0xe2»やってきたな!«0xe2»アンテナのきは わたさんぞ!«*0» 
0x11c0e6,さっきは すまなかったな«0xe2»アンテナのきを まもってくれて«0xe2»あリがとう«0xe2»«*0»
0x11c0e8,アイツは いったい なんのためにアンテナのきを おろうと«0xe2»していたんだろう«*0»
0x11c0ea,アイツが いたから «0xe2»アンテナのきをつかえないようにしていたんだ«0xe2»アンテナのきは じゆうに«0xe2»つかってくれよ«0xe2»«*0»
0x11c0ec,もう おこるひつようは «0xe2»ないからね«0xe2»さっきは すまなかった«0xe2»«*0»
0x11c0ee,みためで けっこう «0xe2»ごかいされるんだけど«0xe2»じつは いいヤツばっかリだったリするんだよ«*0»
0x11c0f0,うみのデンジュウって«0xe2»みためが こわいのかな?«0xe2»オレたちは まいにちみてる«0xe2»かおだから なんとも «0xe2»おもわないんだ«0xe2»«*0»
0x11c0f2,いみもなく おこってた«0xe2»わけじゃないんだ«0xe2»アンテナのきは みんなにとって«0xe2»だいじなものだからね«*0»
0x11c0f4,イ-リスのまちに すんでる«0xe2»ひとは めいわくしたんだろうな«0xe2»あとからでも あやまリに«0xe2»いこうかな«*0»
0x11c0f6,リリオペが せわになった«0xe2»みたいだね«0xe2»ナカマの ねがいを きいてくれたニンゲンに わるいことを«0xe2»したよ ごめんな«0xe2»«*0»
0x11c0f8,パ-ムかいの ヘいわは«0xe2»オレたちが まもるんだ!«*0»
0x11c0fa,ここの アンテナのきは«0xe2»キカイのまちフリジアに«0xe2»つながっているんだ«0xe2»«*0»
0x11c0fc,ここは キカイのまち«0xe2»フリジアです«*0»
0x11c0fe,フリジアは ニンゲンがおおく«0xe2»すむまちです«*0»
0x11c100,いまフリジアでは«0xe2»『Tファンガ- たいかい』«0xe2»をやっているよ«0xe2»だれがいちばんさきに«0xe2»やまのほこらにつくかを«0xe2»きょうそうしているんだ«*0»
0x11c102,Tファンガ-たいかいの «0xe2»ゆうしょうしゃは いったい«0xe2»だれなんだろうね?«0xe2»きっとすごいかっこいいひと«0xe2»なんだろうね«0xe2»«*0»
0x11c104,1かいせんは すかした«0xe2»ニイちゃんなんだ«0xe2»アレなら たぶん よゆうだって«0xe2»«*0»
0x11c106,オマエが たいかいゆうしょう?«0xe2»そんなにつよいんだったら«0xe2»なにも おしえなくても«0xe2»よかったかもしれないなぁ«*0»
0x11c108,たいかいを うんえいしてる«0xe2»ヤツらが なんだか ヘんなんだ«0xe2»『きよきいっぴょうを』とか«0xe2»『あかるいミライを-』とか«0xe2»いってるんだぜ«0xe2»«*0»
0x11c10a,アイツらには ちかづきがたい«0xe2»なにかがあるよね«*0»
0x11c10c,けっきょく たいかいを«0xe2»うんえいしてたヤツらって«0xe2»なにものだったんだろうな??«0xe2»«*0»
0x11c10e,2かいせんで いいとこまで«0xe2»いったんだけどね-«0xe2»まけちゃった«0xe2»あのこが つれてた ノリウツギ«0xe2»なかなかつよかったわ«0xe2»«*0»
0x11c110,すご-い Tファンガ-たいかい«0xe2»ゆうしょうしちゃったの??«0xe2»しょうひんは なんだった??«0xe2»«*0»
0x11c112,ここからさきは たいかいが«0xe2»おわるまで とおることが«0xe2»できません«0xe2»あしからず«*0»
0x11c114,たいかいが おわったので«0xe2»とおれるように なリましたよ«*0»
0x11c116,このさきには さばくのまち«0xe2»バ-ランが あリますよ«*0»
0x11c118,ゆうしょうしょうひんは«0xe2»もらいましたか?«0xe2»ほこらのいちばんおくに«0xe2»あリますよ«*0»
0x11c11a,みんな つよそうだから«0xe2»こわくて なかなか まえに«0xe2»すすめないんだよ-«0xe2»«*0»
0x11c11c,すごい! ゆうしょうなんて«0xe2»すごすぎるよ!«0xe2»いまのうちに キミのサインを«0xe2»もらっとこうっと«*0»
0x11c11e,たいかいしゅうリょうまでは«0xe2»ここは とおれませんよ«*0»
0x11c120,たいかいが おわっても«0xe2»とられた デンワバンゴウは«0xe2»かえってこないのよね...«*0»
0x11c122,デンワバンゴウを«0xe2»かえしてちょうだ-い!«*0»
0x11c124,ここからさきは«0xe2»つよいTファンガ-しか«0xe2»とおることができない!«0xe2»キミがとおれるかどうか«0xe2»たしかめてあげよう!!«0xe2»«*0»
0x11c126,あっ! こないでこないで!«0xe2»もうワタシはテレファングは«0xe2»しないんだから!«0xe2»これいじょうトモダチを«0xe2»ヘらされたら たまらないわ!«0xe2»«*0»
0x11c128,ぜったいに テレファングは«0xe2»しませんからね!«*0»
0x11c12a,ニンゲンたちは おもしろいこと«0xe2»ばかリかんがえてくるね-«0xe2»そんなにヒマなのかな-«0xe2»«*0»
0x11c12c,う-ん«0xe2»ニンゲンと トモダチになると«0xe2»タイクツしないのかな?«0xe2»だからみんな ニンゲンと«0xe2»トモダチになるのかな?«0xe2»«*0»
0x11c12e,ニンゲンがおもてで ヘんなこと«0xe2»しているよね«0xe2»なにかたのしいのかな-«0xe2»«*0»
0x11c130,おもてが ちょっとだけ«0xe2»しずかになったかなぁ«0xe2»おもしろかったのかな-«0xe2»«*0»
0x11c132,もリのほこらに たいかいの«0xe2»ゆうしょうしゃにわたす«0xe2»めずらしい アイテムがおいて«0xe2»あるらしいんだ«*0»
0x11c134,たいかいが おわったみたいだけどめずらしいアイテムって«0xe2»いったいなんだったんだろうね«0xe2»«*0»
0x11c136,ほこらのまえに すごい«0xe2»Tファンガ-がいるそうなんだ«0xe2»なんでも つよいデンジュウを«0xe2»さがしているらしいよ«*0»
0x11c138,つよいデンジュウをさがしている«0xe2»すごいTファンガ-を«0xe2»たおした もっとすごい«0xe2»Tファンガ-があらわれたらしいね«*0»
0x11c13a,フリジアにはアンテナのきが«0xe2»いっぽんしかないんだ«0xe2»アンテナのきで たびしたいなら«0xe2»ひがしにある バ-ランまで«0xe2»いかないとダメだね«0xe2»バ-ランってのはさばくのまちさ«*0»
0x11c13c,Tファンガ-たいかい...«0xe2»はやく おわらないかな-«0xe2»まちじゅう Tファンガ-だらけ«0xe2»だから つかれるよ...«*0»
0x11c13e,ワシは ここにひとリで«0xe2»くらしているんじゃ«0xe2»フリジアは キカイがおおすぎて«0xe2»どうにもイカン«0xe2»ここはワシがあつめている«0xe2»『あるもの』をほかんするには«0xe2»もってこいなんじゃ«0xe2»«*0»
0x11c140,『あるもの』ってどんなもの«0xe2»じゃと?«0xe2»おおきなイワのようなモノじゃ«0xe2»ゴツゴツしていて ひょうめんに«0xe2»アナがあいている ふしぎいしを«0xe2»あつめているんじゃ«*0»
0x11c142,たいかいちゅうは このみちは«0xe2»とおれませんよ«*0»
0x11c144,ここからさきに いくのかい?«0xe2»ここからさきは さばくのまち«0xe2»バ-ランだよ«0xe2»«*0»
0x11c146,バ-ランは ふるいデンジュウの«0xe2»まちなんだよ«*0»
0x11c148,キミは トリぐみ?ヘビぐみ?«0xe2»オレはトリぐみなんだ«0xe2»ヘビぐみは ひきょうだぞ!«0xe2»アンテナのきをひとリじめして«0xe2»いるんだ!«0xe2»«*0»
0x11c14a,キミは トリぐみ?ヘビぐみ?«0xe2»...なんて もう きかなくて«0xe2»いいんだね«0xe2»アンテナのきも なかよく«0xe2»つかっていくことに するよ«0xe2»«*0»
0x11c14c,キミは トリぐみ?ヘビぐみ?«0xe2»オレはヘビぐみなんだ«0xe2»トリぐみは ズルイぞ!!«0xe2»みずをひとリじめしているんだ!«*0»
0x11c14e,キミは トリぐみ ヘビぐみ?«0xe2»...このクセ なおるかなぁ«0xe2»なおさないとなぁ«0xe2»«*0»
0x11c150,さばくのまち バ-ランに«0xe2»ようこそ!«0xe2»ここは さばくのオアシス«0xe2»ゆっくリしてくださいね«*0»
0x11c152,トリぐみのおさのうちは«0xe2»ここをまっすぐきたに あがった«0xe2»ところだよ«0xe2»«*0»
0x11c154,トリぐみのおさは リっぱな«0xe2»デンジュウさ«0xe2»ヘビぐみと にちやたたかって«0xe2»いるんだ«*0»
0x11c156,トリぐみのおさも ヘビぐみの«0xe2»おさも リっぱなデンジュウさ«0xe2»なかなおリ できるなんて«0xe2»すごいよ!«*0»
