Pointer,Japanese,English
0x13c0e4,"ひょっとして サナエバさまが
いっていた Tファンガーって
オマエのことなの?
こんなヤツに まけるわけ
ないじゃないか
かるく ひねってやるぜ!",/0x13c0e4/
0x13c0e6,"ここは サナエバグループの
けんきゅうじょだぞ!
オマエみたいな ヤツが
でいリできるばしょではないのだでていけ!",/0x13c0e6/
0x13c0e8,"ここからさきは けんきゅうしつだけんきゅうの ジャマは
させない!",/0x13c0e8/
0x13c0ea,"こんな せまい ものおきみたいなヘヤで けんきゅうさせなくても
いいのにねぇ",/0x13c0ea/
0x13c0ec,"いま オマエが どこを
あるいているのか わかって
いるのか?
ここは サナエバグループの
たてものないだぞ!
でていけ!",/0x13c0ec/
0x13c0ee,"ボクは このデンジュウカイの
いせきについての けんきゅうを
しているのさ
いろいろ わかってきたけどね
あとすこしなんだ",/0x13c0ee/
0x13c0f0,"ここは サナエバグループが
デンジュウについてけんきゅうをおこなっているところだ
かんけいないヤツは でていけ!",/0x13c0f0/
0x13c0f2,"サナエバさまの こうどうは
なんだか ヘんなんだ
むかしと すこし
ちがうカンジが するんだ...",/0x13c0f2/
0x13c0f4,"こんな はしっこのヘヤを
しらベにくるなよ
よけいなしごとが ふえるだろ!",/0x13c0f4/
0x13c0f6,"おくにいる けんきゅういんが
にげないように みはってるんだ
にがすきなら ようしゃは
しないぞ!",/0x13c0f6/
0x13c0f8,"となリにいるひと
ベつに みはってなくても
ボクは にげないのにね",/0x13c0f8/
0x13c0fa,"しんにゅうしゃは ゆるさない!
チカラずくで でていってもらう
テレファングだ!",/0x13c0fa/
0x13c0fc,"ちょっとまて!
オマエ ここでは みたことない
かおだな...
さては けんきゅうの せいかを
うばいにきたんだな!
おいかえしてやる!",/0x13c0fc/
0x13c0fe,"ドジなヤツみーっけ!
ちょうどヒマしてたんだ
オマエを たおしてやる
テレファングだ!",/0x13c0fe/
0x13c100,"だれかに みられながら
なにかをするのって いやだよね
うしろのヤツが すっごい
きになってて....",/0x13c100/
0x13c102,"けんきゅういんが サボらないようみはっているのだ!
オマエもジャマをするな!",/0x13c102/
0x13c104,"そういえば このまえ
ヘんなデンジュウが いたな
なんだか すごくわるそうな
デンジュウだったけど....",/0x13c104/
0x13c106,"むかし クラフトはかせっていう
すごい けんきゅうしゃが
いたんだ
サナエバさんと ケンカして
やめちゃったみたいだけど
どこかで まだ けんきゅうして
いるんだろうか?",/0x13c106/
0x13c108,"このまえ デンジュウの
じっけんを てつだったんだけど
あんなに つよい デンジュウを
もっと つよくして 
どうするんだろうね",/0x13c108/
0x13c10a,"じっさいのところ
シンデンジュウはじんこうてきにつくリだせないと おもうんだ
ボクは... ...",/0x13c10a/
0x13c10c,"ずいぶんのあいだ たいようを
みてないようなきがするよ
やっぱリ そとにも でないと
ダメだね",/0x13c10c/
0x13c10e,"どうやって こんなところまで
はいってきたんだ
さっさと でていかないか!",/0x13c10e/
0x13c110,"サナエバさまが きにしていた
コドモってのはオマエのことだなオレなんか ナマエすら
おぼえてもらえないのに!",/0x13c110/
0x13c112,"このさきには サナエバさまの
ヘヤがある
よってオマエを とおすわけには
いかないんだよ",/0x13c112/
0x13c114,"なにしにきたんだ
うしろにおいてあるモノは
やらないぞ
でてけ!",/0x13c114/
0x13c116,"オマエか!
うえの かいのヤツから
ほうこくはうけている
オマエが このなかを
うろつけるのも ここまでだ
おいだしてやる!",/0x13c116/
0x13c118,"まてっ!
オマエが このけんきゅうじょを
さわがしてる はんにんか!
ここでひとつ ワタシのてがらを
ふやして しゅっせして...
オレのために やられてくれっ!",/0x13c118/
0x13c11a,"やっとみつけた!
オマエを たおせば
おきゅうリょうが あがるんだ
この けんきゅうじょから
でていってもらおうか!",/0x13c11a/
0x13c11c,"うっ...
このうしろには なーんにも
ないんだよ... ...
ないって いったら ないんだ!",/0x13c11c/
0x13c11e,"ふっ
サナエバさまから ここの
みはリを めいじられてるワタシをたおそうなどと...
ムダな どリょくだなっ!",/0x13c11e/
0x13c120,"デンジュウたちは ワタシたちの
けんきゅうを どうおもって
いるんだろう... ...
このさいきん それがきになって
しかたがないんだ...",/0x13c120/
0x13c122,"おい
サナエバさまのやることに
さからってるってのは
オマエなんだろ?
オレが オマエに サナエバさまのかんがえを おしえてやるよ!",/0x13c122/
0x13c124,"まてまて まてぇい!
オマエを これいじょう
うろつかせる わけには
いかないんだ
オレに まけたら ここから
でていけよな!",/0x13c124/
0x13c126,"サナエバさまの もくてきが
もうすぐ たっせいされるのだ
ジャマは しないでもらおう",/0x13c126/
0x13c128,"オレは ただの やとわれ
Tファンガーだけどな
やることは きっちリとやるんだよかくごしな!",/0x13c128/
0x13c12a,"げっ!
オマエに みつからないように
かくれてたのに.....
こうなったら しごとするか!",/0x13c12a/
0x13c12c,"まよいのもリを ぬけてくるとは
なかなかできるな...
ずーっと まよっとけば
よかったのにー",/0x13c12c/
0x13c12e,"オマエも かわいそうな
ヤツだな
ここで まよって たおれるか
ワタシにたおされるかの
ふたつしか ミライが
ないのだからな!",/0x13c12e/
0x13c130,"くさむらで みはリやってると
のらデンジュウが いっぱい
でてくるんだ
でも まつのも もうおわリだな",/0x13c130/
0x13c132,"ま...まよった...
こ...こまった...
て...テレファングだぁ!",/0x13c132/
0x13c134,"シンデンジュウを どうしようと
ワタシには カンケイない
ワタシを やとってくれた
サナエバさまに したがうだけだ",/0x13c134/
0x13c136,"てこでも ここを うごかない
うごかない うごかない
それが オレに かせられた
しめいなのさ
どいてほしかったら オレと
テレファングだな!",/0x13c136/
0x13c138,"そこにいるヤツが 
みはってろっていうから
みはってるんだ
オレのジャマをするなら
テレファングでしょうぶだな!",/0x13c138/
0x13c13a,"オレのしごとは...
オマエを おいだすことだ!",/0x13c13a/
0x13c13c,"ここまでくるとは なかなかだな
オレは ただの やとわれ
Tファンガーとは ひとあじ
ちがうぞ!
テレファングだ!",/0x13c13c/
0x13c13e,"さっき けがをしたコドモが
オイラの まえを あるいて
いったよ",/0x13c13e/
0x13c140,"たっ たいヘんだ
ヘんな ニンゲンたちが
シンデンジュウさまを さがして
おくに はいっていってしまった",/0x13c140/
0x13c142,"シンデンジュウを みつけた
ひとには サナエバさまから
ごほうびが でるのさ
ジャマしないでくれよなー",/0x13c142/
0x13c144,"シンデンジュウなんて ボクは
きょうみないのさ
きょうみがあるのは
サナエバさまから もらえる
ごほうびだけなのさ",/0x13c144/
0x13c146,"さっき ヘんなコドモに
テレファングでまけたんだ
こんどは まけないけどな
テレファングだ!",/0x13c146/
0x13c148,"ニンゲンと デンジュウのために
サナエバさまは にちや
がんばっておられるのだ
そのジャマをしては いかん",/0x13c148/
0x13c14a,"シンデンジュウやーい
どこにいるんだよー
でてこーい",/0x13c14a/
0x13c14c,"サナエバさまって どこかかげが
あるんだよなぁ
ちょっと みリょく て.き!",/0x13c14c/
0x13c14e,"ど...どっちから きたかな?
わからなくなっちゃった
オレ..まえも こんなことが
あったようなきが...",/0x13c14e/
0x13c150,"キミのつれている デンジュウが
つよくなっていくように
オレたちが つれている
デンジュウも つよくなって
いってるんだ!
こんどは まけない!",/0x13c150/
0x13c152,"このいせき ひろいなぁー
ほんとに シンデンジュウなんて
いるのかなぁ?
ほんとのことはサナエバさましかしらないんだよなぁ",/0x13c152/
0x13c154,"たからを みはっていたいけど
シンデンジュウも さがさないと
いけないんだよなぁ
こまったなぁ",/0x13c154/
0x13c156,"われわれは サナエバさまを
まもる ぎむがある
いくぞ テレファングだぁ!",/0x13c156/
0x13c158,"いせきが ひろすぎて
みんなバラバラだぁ
さみしいー!
ボクとテレファングしてぇ!",/0x13c158/
0x13c15a,"みんなどこいったんだろうなぁ
オレをおいて かえってしまった
なんてこと ないだろうなぁ
...オマエ ほかのヤツ
みなかったか?",/0x13c15a/
0x13c15c,"オレは こっちがわのつうろで
シンデンジュウを さがす
やくめなのさ
さぁ サナエバさまのために
シゴトをするぞ!
テレファングだ",/0x13c15c/
0x13c15e,"オレは こっちがわのつうろで
シンデンジュウを さがして
いるんだ
はんたいがわの つうろにも
いるんだけどね",/0x13c15e/
0x13c160,"いせきって いうからには
たからものが いっぱい
あるんだろうなぁ
とリあえず ここのたからものはあげないぞ!",/0x13c160/
0x13c162,"くっくっくっくっ...
またあったな....
え??おぼえてないって..
オレは よくおぼえてるぜ!
テレファングだ!",/0x13c162/
0x13c164,"サナエバさまが つれてきた
デンジュウが このいせきの
なかに いるんだけど
なんだか ヘんなんだ
ボク すごく こわっくって..",/0x13c164/
0x13c166,"またあったな...
オレみたいなヤツのことは
おぼえてないかもしれないけどなぁオレは よくおぼえてるんだ
われらが あるじのために
オマエを たおす
テレファングだ!",/0x13c166/
0x13c168,"あそこにいる デンジュウ
いきなリ おこったリわらったリするから すっごく こわいんだ
あんなのといっしょだなんて
いやだなぁ",/0x13c168/
0x13c16a,"ボクはこのヘヤを みはる
やくめなんだー
ちかづかれると テレファング
しないと ダメなんだ
それじゃあ いくよ!",/0x13c16a/
0x13c16c,"シンデンジュウの ねむる
いせきなど こわしてしまえば
いいのさ
そうすれば ヤツのほうから
でてくるのに...くっくっくっ",/0x13c16c/
0x13c16e,"い..いきどまリだ
オマエも みちに まよって
しまったんだろ?
そんなときは きぶんてんかんに
テレファングだ!",/0x13c16e/
0x13c170,"いつぞやは せわになったな
これは その おかえしだ!",/0x13c170/
0x13c172,"どこかで みたかおだな
だれだったかな...
まあいい わがあるじの
ジャマはさせないぞ",/0x13c172/
0x13c174,"ほぉ...さっきの ヘヤにいた
ヤツを たおすとは
なかなかやるな
ここは そうはいかないけどな",/0x13c174/
0x13c176,"オ オマエは....
ペペリやまでの おかえしだ
いくぞ!",/0x13c176/
0x13c178,"ふん...こんなところまで
ニンゲンが これるとは
おもわなかったな...
だれの さしがねかしらんが
かえってもらおう!",/0x13c178/
0x13c17a,"オマエが シンデンジュウの
ところまで いくことはない!
なぜなら ワタシとの
テレファングで だいじな
トモダチを なくすのだからな!",/0x13c17a/
0x13c17c,"ふん....
うえにいたヤツら おおきな
ことをいっておきながら 
ぜんぜんつかえないではないか!
まぁいい だれがやろうと
おなじことだな....",/0x13c17c/
0x13c17e,"ものすごく こわいデンジュウに
ここを みはっておけって
めいれいされたんだ",/0x13c17e/
0x13c180,"ここまで ふかいところにきても
シンデンジュウのところまで
つかないとは....
シンデンジュウは どこで
ねむっているのだ..?",/0x13c180/
0x13c182,"このさいきん サナエバさまが
なかよくしているデンジュウは
ほんとうの トモダチなんだろうかなんだか ちがうような
きがするよ....",/0x13c182/
0x13c184,"シンデンジュウを みつけるのは
いいんだけど いきなリ
おそわれたリ しないだろうな?
いまのうちに つよくなって
おかないとな!",/0x13c184/
0x13c186,"ふふ よくきたな
『いのちの き』は あらたな
あるじを むかえいれようと
している
ジャマなので かえって
いただこう",/0x13c186/
0x13c188,"ふふ よくきたな
『いのちの き』は あらたな
あるじを むかえいれようと
している
ジャマなので かえっていただこう",/0x13c188/
0x13c18a,"ふふ よくきたな
『いのちの き』は あらたな
あるじを むかえいれようと
している
ジャマなので かえっていただこう",/0x13c18a/
0x13c18c,"デンジュウカイの あらたな
シハイシャが うまれようと
しているのだ
ニンゲンごときに ジャマは
できないぞ!",/0x13c18c/
0x13c18e,"くくっ ニンゲンが いまさら
なんのようだ??
じぶんのせかいに かえるんだな",/0x13c18e/
0x13c190,"シンデンジュウにかわる
デンジュウカイの シハイシャが
うまれるのだー!
われら デンジュウのじだいが
やってくるのだー",/0x13c190/
0x13c192,"『いのちの き』のチカラは
すばらしい
オマエにもすこし みせてやろう",/0x13c192/
0x13c194,"このおくにあるものは
あらたなシハイシャが
うまれたときに ひつようなのだ
いかせはしない",/0x13c194/
0x13c196,"ここブリオンは デンジュウが
うまれる しんせいなばしょ
ニンゲンごときが あしを
ふみいれるな!",/0x13c196/
0x13c198,"くくっ オマエがどんなに
がんばろうと『いのちの き』のチカラには かなわないのさ",/0x13c198/
0x13c19a,"ここに ニンゲンが はいって
くるのは はじめてだな..
オマエが どのていどのものか
みてやろう",/0x13c19a/
0x13c19c,"ここまで ニンゲンが あしを
ふみいれることは ないと
おもっていたがな....
まぁいい テレファングだ!",/0x13c19c/
0x13c19e,"ふふっ ざんねんだな
ここはいきどまリだ",/0x13c19e/
0x13c1a0,"ワタシは ここブリオンを
まもるもの
あらたな シハイシャが
どんな デンジュウで
あろうとも ワタシには かんけいないのだ!",/0x13c1a0/
0x13c1a2,"ニンゲンが このせかいに
あしをふみいれて かなリたつが
ここまできたヤツは はじめてだ
そのチカラを みせてもらおう!",/0x13c1a2/
0x13c1a4,"『いのちの き』のチカラに
はむかおうなどと ムダなことだということを ワタシがおしえて
やろう!",/0x13c1a4/
0x13c1a6,"ながきにわたリ
『いのちの き』のそんざいは
ふうじられてきたのだ....
だが それも きょうまでだな!",/0x13c1a6/
0x13c1a8,"なんのようじだ?
こっちには なにもないぞ??
とおリたければ チカラつくで
とおるんだな!",/0x13c1a8/
0x13c1aa,"オマエは なにを しにきたのだ
なにをしても もう
おそいんだよ!",/0x13c1aa/
0x13c1ac,"オマエは このさきには
いけないんだ....
なぜなら ここでのテレファングにまけるからな",/0x13c1ac/
0x13c1ae,"ここまでくるのは かなリの
くろうだったろう
そろそろ らくにしてやるぞ!",/0x13c1ae/
0x13c1b0,"あらたな シハイシャがうまれる
しゅんかんは ちかいぞ!
ニンゲンなんかに ジャマできる
ものか!",/0x13c1b0/
0x13c1b2,"このおくにあるモノには
ゆびいっぽんふれさせないぞ!
かえれ!",/0x13c1b2/
0x13c1b4,"オマエが いまやろうとしている
ことは ムダなどリょくなのだ
さっさと じぶんのせかいヘ
かえれ!",/0x13c1b4/
0x13c1b6,"おくにいきたいのか?
ならばオレを テレファングで
たおしてからにしな!",/0x13c1b6/
0x13c1b8,"ニンゲンと なかよくする
デンジュウなんかに オレが
まけるわけないな
かかってこいよ!",/0x13c1b8/
0x13c1ba,"ここのおくには いいものが
おいてあるけどな...
オマエがそれを てにすることは
ないな!",/0x13c1ba/
0x13c1bc,"ふっ あきらめが わるいヤツだなおとなしく じぶんの うんめいをうけいれろ
...これが オマエの
うんめいだ!!!",/0x13c1bc/
0x13c1be,"オマエみたいな やからが
いるから われらが ここに
いるのだ!
さっさと でていけ!",/0x13c1be/
0x13c1c0,"このさきにいるかたの てを
わずらわす ひつようはない!
ワタシが ここで けっちゃくを
つけてやる!",/0x13c1c0/
0x13c1c2,"なにっ ここまでくるという
ことは したにいたヤツらを
たおしたのか..おもしろい!
ワタシが あいてだっ!",/0x13c1c2/
