#,Japanese,English,Draft version,German,Draft version (German),Notes
133,エニシダ,Enishida,,Enishida,,
134,ツルバキア,Tulbaghia,,Tulbaghia,,
135,キリンギク,Kiringiku,,Kiringiku,,
136,アンヂランス,Angilance,,Angilance,,
137,ヂムガノン,Gymganon,,Gymganon,,
138,サイオ-ペ,Saiope,,Saiope,,
139,ワッタ,Wattah,,Wattah,,
140,ケッツァキング,Quetzaking,,Quetzaking,,
141,アラク-ダバラン,Arachdebaran,,Arachdebaran,,
142,パンクホロウ,Punkhoro,,Punkhoro,,
143,バイキング-リン,Vikingurin,,Vikingurin,,
144,スト-ム,Storm,,Storm,,
145,ムト-ム,Mutoom,,Mutoom,,
146,ギプソフィ-,Gypsophi,,Gypsophi,,
147,ルスカス,Ruscus,,Ruscus,,
148,マオラン,Maoran,,Maoran,,
149,ゼア,Zea,,Zea,,
150,ゴヌム,Gonum,,Gonum,,
151,アンヂパワ-,Angipower,,Angipower,,
152,ヂムザイラス,Gymzyrus,,Gymzyrus,,
153,カノンオ-ペ,Canonope,,Canonope,,
154,カ-ム,Calm,,Calm,,
155,リュ-グ-,Ryuuguu,,Ryuuguu,,
156,ギガギガ-ス,Gigagigerth,,Gigagigerth,,
157,バリア-ム,Barriarm,,Barriarm,,
158,クリプトナイト,Cryptoknight,,Cryptoknight,,
159,ファングオ-,Fung-Oh,,Fung-Oh,,
160,バショウ,Bashou,,Bashou,,
161,アンヂゴ-ゴ,Angigorgo,,Angigorgo,,
162,ヂムバロン,Gymbaron,,Gymbaron,,
163,リリモナ-ク,Lirimonarch,,Lirimonarch,,
164,エンテイオ-,Enteioh,,Enteioh,,
165,ゴ-ラキング,Golaking,,Golaking,,
166,カンゾウ,Kanzou,,Kanzou,,
167,オルニソガルム,Ornithogalum,,Ornithogalum,,
168,ゲンティアナ,Gentiana,,Gentiana,,
169,ヤロウ,Yarrow,,Yarrow,,
170,アンヂオロス,Angioros,,Angioros,,
171,ヂムザタン,Gymzatan,,Gymzatan,,
172,ドゥ-ムズデイ,Doomsday,,Doomsday,,
173,デンデル,Dendel,,Dendel,,
174,テレテル,Teletel,,Teletel,,
175,,--------,,--------,,
176,,Cheater!,,Cheater!,,
